rank,CERT,NAME,predicted_growth_fraction
1,27010,YOUNG AMERICANS BANK,-0.0401672
2,57849,PIONEER COMMERCIAL BANK,-0.033156075
3,27054,SUMITOMO MITSUI TR BK U SA,-0.028256275
4,18924,OLD GLORY BANK,-0.027537871
5,58586,TURTLE MOUNTAIN STATE BANK,-0.021059023
6,12305,COLUMBUS STATE BANK,-0.020496001
7,33831,FDS BANK,-0.020330958
8,17825,BOELUS STATE BANK,-0.019569488
9,3693,LEMONT NATIONAL BANK,-0.018009044
10,3158,CITIZENS NB OF CROSBYTON,-0.01746202
11,6156,FARMERS STATE BANK,-0.017460197
12,3232,GRANGER NATIONAL BANK,-0.017308358
13,59043,STIFEL TRUST CO DELAWARE NA,-0.016597275
14,23826,BANK OF JACKSON HOLE TRUST,-0.01638764
15,58482,BANK OF MONTANA,-0.016163744
16,3195,FAYETTEVILLE BANK,-0.015583857
17,22653,GREEN DOT BK DBA BONNEVILLE,-0.015284047
18,5962,SUTTON BANK,-0.015134401
19,18895,FIRST NB OF LAKE JACKSON,-0.014956046
20,59190,VARO BANK NATIONAL ASSN,-0.014390278
21,3600,FIRST NB OF ASSUMPTION,-0.013881216
22,33785,STIFEL TRUST CO NA,-0.013547634
23,13959,CBW BANK,-0.013530696
24,15105,ZAVALA COUNTY BANK,-0.013485938
25,12501,CITIZENS STATE BANK,-0.013425217
26,34193,APPLIED BANK,-0.013396785
27,14926,FREELAND STATE BANK,-0.013354848
28,492,WESTERN DAKOTA BANK,-0.013181355
29,57102,BANK OF BRENHAM NA,-0.012933175
30,26312,FIRST AMERICAN TRUST FSB,-0.012830467
31,19278,CARMINE STATE BANK,-0.012759341
32,999,G W JONES EXCHANGE BANK,-0.012712598
33,17160,COTTONWOOD VALLEY BANK,-0.012598264
34,358,STOCKMENS BANK,-0.012225635
35,3336,MENARD BANK,-0.0120242145
36,18282,FIRST NATIONAL BANK OF ALVIN,-0.011763187
37,10809,FIRST STATE BANK OF VAN ORIN,-0.011582278
38,57129,COMMUNITY FSB,-0.011517215
39,5529,FIRST NB OF SHINER,-0.011315244
40,15326,UNION BANKING CO,-0.011276611
41,10187,NORTHERN STB OF GONVICK,-0.010895907
42,4098,FIRST NB OF FLETCHER,-0.010890528
43,2273,FIRST NATIONAL BANK OF ELY,-0.010846404
44,3303,FIRST NATIONAL BANK OF LIPAN,-0.010732596
45,12225,FMB BANK,-0.010445711
46,57710,GREENE CNTY COMMERCIAL BANK,-0.010380847
47,34014,TEXAS NATIONAL BANK,-0.009974735
48,5538,FIRST NB OF STERLING CITY,-0.00946818
49,34489,EDISON NATIONAL BANK,-0.009410042
50,1391,ARLINGTON STATE BANK,-0.0091931475
51,35377,ALPINE CAPITAL BANK,-0.009170525
52,10626,BANK OF NEW CAMBRIA,-0.009127744
53,3401,FIRST NB OF QUITAQUE,-0.008943951
54,16600,FIRST STATE BANK,-0.008943062
55,15078,JUNCTION NATIONAL BANK,-0.008785528
56,17632,FARMERS STATE BANK,-0.00868845
57,16934,CITIZENS STATE BANK,-0.0086439615
58,8110,STATE BANK OF SPRING HILL,-0.008393288
59,20454,CITIZENS BANK OF EDINBURG,-0.008385802
60,15104,BANK OF YORK,-0.00833079
61,12013,UNION COUNTY SAVINGS BANK,-0.008297466
62,25122,FIRST NB NORTHWEST FLORIDA,-0.008256058
63,14836,FIRST NB IN NEW BREMEN,-0.008202412
64,12506,INDUSTRY STATE BANK,-0.008107697
65,18892,KRESS NATIONAL BANK,-0.007943189
66,26539,MICRONESIA,-0.007748809
67,13832,TRUST BANK,-0.0076667196
68,35212,COMMUNITY BANK OF THE SOUTH,-0.0076154405
69,8534,ST LANDRY BANK&TRUST CO,-0.00742529
70,1745,FARMERS&MERCHANTS BANK,-0.0072671575
71,19105,PEOPLES BANK OF MACON,-0.007252718
72,10120,AMERICAN TRUST&SAVINGS BANK,-0.007075562
73,3985,FIRST NB OF FREDERICK,-0.006935784
74,24064,ATASCOSA BANK,-0.0068760347
75,24902,FIRST NB OF S PADRE ISL,-0.0068575675
76,18483,ANDES STATE BANK,-0.0066614505
77,18132,PEARLAND STATE BANK,-0.0066357097
78,57123,FIRST CENTURY BANK NA,-0.006622576
79,17350,FIRST STB OF SAN DIEGO,-0.006504986
80,11902,HILL BANK&TRUST CO,-0.0064949836
81,7274,WSB MUNICIPAL BANK,-0.006494943
82,3339,FIRST NB OF MERTZON,-0.006475566
83,6100,LINEAGE BANK,-0.006428092
84,10704,FIRST STATE BANK,-0.0063706064
85,10920,FIDELITY STATE BANK&TRUST CO,-0.0063200286
86,3099,FIRST NB OF BELLVILLE,-0.0062455893
87,968,SECURITY TRUST&SAVINGS BANK,-0.006241306
88,5518,CITY NB OF SAN SABA,-0.006168051
89,34748,CLEARPOINT FEDERAL B&T,-0.0060589565
90,29980,MIDLAND FS&LA,-0.0060207476
91,41,PHENIX-GIRARD BANK,-0.006019218
92,10374,BANNER BANKS,-0.005930427
93,15847,SUNRISE BANK DAKOTA,-0.0058728033
94,59108,CHARLES SCHWAB TRUST BANK,-0.0057636984
95,18942,BK SAN JACINTO CNTY COLDSPRI,-0.0056481124
96,11716,HARTSBURG STATE BANK,-0.005638468
97,24211,BANK OF WHITTIER NA,-0.00555234
98,59318,ZENITH BANK&TRUST,-0.005423289
99,9752,MARSHALL COUNTY STATE BANK,-0.0053869267
100,59285,MOULTRIE BANK&TRUST,-0.0053755776
101,12283,FIRST STATE BANK,-0.005359793
102,22867,COMMUNITY BANK OF RAYMORE,-0.005255879
103,9385,BANK OF BROOKFIELD PURDIN NA,-0.005241493
104,8536,PROGROWTH BANK,-0.0050155534
105,35052,HEARTLAND NATIONAL BANK,-0.004947705
106,3133,FIRST BANK OF CELESTE,-0.0048254305
107,2753,CITIZENS NB OF LEBANON,-0.004756235
108,13986,TRANSACT BANK NATIONAL ASSN,-0.00460801
109,13413,KAW VALLEY STATE BANK,-0.0045915423
110,3351,FIRST NATIONAL BANK OF MOODY,-0.0044849818
111,2157,FIRST STB OF RANDOLPH COUNTY,-0.0044666296
112,5820,STATE CENTRAL BANK,-0.0044444758
113,15767,FIRST SECURITY BANK-HENDRICK,-0.00443622
114,3079,FIRST NB OF ASPERMONT,-0.0042270385
115,58595,CHAIN BRIDGE BANK NA,-0.0041514058
116,15286,NORTHERN STB THIEF RIVER FAL,-0.004074778
117,1167,UINTA BANK,-0.0040304726
118,169,FIRST NB OF GRIFFIN,-0.003917839
119,17280,BANK OF TIOGA,-0.0039077555
120,25054,SUMMIT NATIONAL BANK,-0.0038794272
121,9860,MARBLEHEAD BANK,-0.0038728367
122,15749,SECURITY STATE BANK,-0.003811461
123,1860,MONTEZUMA STATE BANK,-0.0037784278
124,14864,STOCKMENS NB IN COTULLA,-0.003754622
125,10804,DU QUOIN STATE BANK,-0.0037483461
126,34252,PACIFIC COAST BANKERS BANK,-0.0037050545
127,33026,SURETY BANK,-0.0036244006
128,9406,BANK OF CATTARAUGUS,-0.00359416
129,16908,SPIRO STATE BANK,-0.0035722207
130,5602,UNION STATE BANK,-0.0034376578
131,10123,FIRST TRUST&SAVINGS BANK,-0.0033258223
132,10719,PEOPLES STB OF HALLETTSVILLE,-0.0032959273
133,58303,AMERIPRISE BANK FSB,-0.0032573317
134,16516,NEBRASKA STATE BANK,-0.0032134023
135,3255,CITIZENS NB OF HILLSBORO,-0.0031303412
136,4122,1ST BANK IN HOMINY,-0.0029890777
137,9323,BANK OF WINNFIELD&TRUST CO,-0.002985007
138,8214,FARMERS STATE BANK OF HAMEL,-0.002974299
139,14,STATE STREET BANK&TRUST CO,-0.0029410229
140,26816,LIBERTY BANK INC,-0.0029281487
141,8323,COMMUNITY STATE BANK,-0.002895625
142,32968,LIFESTEPS BANK&TRUST,-0.002866373
143,639,BANK OF NEW YORK MELLON,-0.0028616313
144,9349,FIRST STATE BANK OF FOUNTAIN,-0.0027641156
145,10315,BANK OF HALLS,-0.0027183848
146,58423,COMMUNITY BK PLEASANT HILL,-0.0027146754
147,15348,FIRST BANK&TRUST CO,-0.0026493566
148,8191,FIRST STATE BANK OF RED WING,-0.002546843
149,5074,FIRST NB OF ST IGNACE,-0.0024407976
150,3320,BIG BEND BANKS N A,-0.002395193
151,29379,SIDNEY FS&LA,-0.0023775587
152,16905,BANK OF ORCHARD,-0.0023689608
153,10628,PREFERRED BANK,-0.0023513057
154,3292,LAMESA NATIONAL BANK,-0.0022382294
155,5110,WESTERN NATIONAL BANK,-0.0022313846
156,11891,DONLEY COUNTY STATE BANK,-0.002228751
157,9325,JONESBORO STATE BANK,-0.0022194567
158,10471,CAMP GROVE STATE BANK,-0.0022095488
159,32018,ANGELINA SAVINGS BANK SSB,-0.0021785817
160,3639,FIRST NATIONAL BANK&TRUST CO,-0.002010765
161,15830,NORTHWEST BANK&TRUST CO,-0.001990302
162,14400,FIRST NB IN TIGERTON,-0.0019576845
163,4794,FIRST NB OF KANSAS,-0.0019340527
164,10253,FIRST SECURITY BANK WEST,-0.001916189
165,10523,BANK OF COMMERCE&TRUST CO,-0.0019112178
166,10982,SECURITY STATE BANK OF OKLEE,-0.0018861922
167,14885,FIRST BANK,-0.0018498494
168,16440,FARMERS&MERCHANTS BANK,-0.0018245435
169,6084,FARMERS STATE BANK OF TURTON,-0.00180657
170,3103,STATE NB OF BIG SPRING,-0.0018001498
171,8507,SLOAN STATE BANK,-0.0017856417
172,22460,MONTEREY COUNTY BANK,-0.001772459
173,15580,FIRST BANK OF COASTAL GA,-0.0017517866
174,3977,DNB NATIONAL BANK,-0.0017123558
175,35236,CENTURY BANK OF GEORGIA,-0.0016604905
176,13415,FARMERS&MERCHANTS BANK,-0.0016593989
177,1937,BANK OF CROCKER,-0.0016479496
178,13600,POINTWEST BANK,-0.0016286582
179,15098,UNION STATE BANK,-0.0015978718
180,1874,BANK OF LABOR,-0.0015874408
181,526,FARMERS STATE BANK,-0.0015814973
182,28515,TRUSTTEXAS BANK SSB,-0.0015794665
183,12549,BANK OF CALHOUN COUNTY,-0.0015563241
184,3019,ROCKY MOUNTAIN BANK&TRUST,-0.0014504152
185,22502,FIRST CITIZENS BANK OF BUTTE,-0.0013202907
186,12098,FIRST STATE BANK OF DONGOLA,-0.0013082775
187,22381,ANAHUAC NATIONAL BANK,-0.0012980873
188,3770,FIRST NB OF BROWNSTOWN,-0.0012910183
189,33497,CHARLES SCHWAB PREMIER BK SS,-0.0012719656
190,14095,FIRST NB IN FALFURRIAS,-0.001156127
191,1660,FARMERS&MERCHANTS BANK OF SC,-0.0011491147
192,13951,COMMUNITY BANK OF LOUISIANA,-0.0011260628
193,34599,PITNEY BOWES BANK INC,-0.001122578
194,13902,FARMERS STATE BANK OF MEDORA,-0.0010402283
195,9274,HILL-DODGE BANKING CO,-0.001030694
196,19904,CENTINEL BANK OF TAOS,-0.0009740091
197,15442,ROBERT LEE STATE BANK,-0.000887754
198,4094,BANK OF EUFAULA,-0.0006896356
199,18930,BANK OF BELLE GLADE,-0.00065606163
200,17841,VERMILION BANK&TRUST CO,-0.00063674175
201,1413,PERENNIAL BANK,-0.0006261928
202,12284,FARMERS&MERCHANTS BANK,-0.00061685743
203,18880,FIRST NB OF GILLETTE,-0.00059157616
204,17809,CITIZENS BANK,-0.00059126713
205,21692,PEOPLES BANK OF GRACEVILLE,-0.00054959743
206,17775,FIRST STATE BANK,-0.00052841014
207,27760,WEST VIEW SAVINGS BANK,-0.0005093279
208,17375,STATE EXCHANGE BANK,-0.00048990094
209,23430,FIRST NB OF BURLESON,-0.00048777295
210,5676,BRANNEN BANK,-0.0004195622
211,20479,FIRST SECURITY BK OF ROUNDUP,-0.00040156898
212,17445,COMMUNITY BANK,-0.00039961957
213,18463,HERITAGE BANK,-0.00030117042
214,55130,"SERVBANK,SB",-0.00027894994
215,1164,CITIZENS BANK,-0.00023662293
216,10330,COMMERCIAL STATE BANK,-0.00022575319
217,107,MERCHANTS&PLANTERS BANK,-0.00020971558
218,16318,MARSEILLES BANK,-0.00019540219
219,931,CITIZENS STB OF MILFORD,-0.00017678665
220,9879,FIRST STATE BANK,-9.519934e-06
221,1150,FIDELITY STATE BANK&TRUST CO,-4.112712e-06
222,3193,FALLS CITY NATIONAL BANK,-1.5608954e-06
223,16332,FIRST STATE BANK&TRUST,-1.4901161e-08
224,16344,STATE BANK OF PEARL CITY,3.648616e-05
225,19978,PENNSVILLE NATIONAL BANK,5.7101017e-05
226,23270,SIOUXLAND BANK,6.737787e-05
227,29617,FIRST MUTUAL BANK FSB,7.610126e-05
228,34455,FIRST NATIONAL BANK,0.00010166834
229,4097,FARMERS&MERCHANTS NB FAIRVIE,0.00015200899
230,2244,JAMES POLK STONE CMTY BANK,0.0002534655
231,30656,NORTH COUNTY SAVINGS BANK,0.00026002366
232,13582,STATE BANK OF NAUVOO,0.00030875127
233,57137,MISSION BANK,0.00031883508
234,9295,FARMERS STATE BANK,0.00033860424
235,12591,CONVERSE COUNTY BANK,0.00042468758
236,13068,COMMUNITY BANK&TRUST,0.00049134303
237,16643,FIRST STATE BANK,0.00049862027
238,149,BANK OF HAZLEHURST,0.0005373927
239,10345,PEOPLES STATE BANK,0.0005476372
240,34710,NATIONWIDE TRUST CO FSB,0.00054984936
241,19819,SOUTHEAST FIRST NB,0.0006023671
242,4683,FIRST NB OF HARVEYVILLE,0.0006137007
243,27201,COMMUNITY STATE BANK,0.00062694115
244,9245,BANK OF LAFAYETTE GEORGIA,0.0006841637
245,15751,FLAT BRANCH BANK,0.00070923934
246,29548,PINNACLE BANK,0.0007131145
247,17122,LAKE COUNTRY COMMUNITY BANK,0.00080041005
248,5117,FIRST NB OF COLERAINE,0.00081409106
249,29231,COUNTY SAVINGS BANK,0.00088396226
250,19595,COMMERCIAL BANK,0.0009113342
251,1611,CARROLL CNTY TR CARROLLTON M,0.0009369282
252,15471,FIRST STATE BANK OF CANDO,0.0010368365
253,15853,FARMERS STATE BANK,0.0010951258
254,15939,PEOPLES STATE BANK,0.0011035859
255,3745,FIRST CMTY BK MOULTRIE CNTY,0.0011187806
256,8383,FIRST STATE BANK OF HARVEY,0.0011442633
257,34052,BAY BANK,0.0011843148
258,34457,BANK OF JACKSON,0.0012367242
259,1098,ROOT RIVER STATE BANK,0.0012392399
260,2784,FIRST BANK OF BOAZ,0.0012786444
261,13999,FARMERS&MERCHANTS STATE BANK,0.0012882148
262,3376,OZONA BANK,0.0013013841
263,27723,SECURITY BANK S B,0.0013118881
264,12086,SAINTE MARIE STATE BANK,0.0013279318
265,18566,PEOPLES BK OF KANKAKEE CNTY,0.0013492922
266,14404,FARMERS STB OF NEWCASTLE,0.0013719999
267,5076,FIRST NB OF WAKEFIELD,0.0014073236
268,3826,FIRST NB OF OKAWVILLE,0.0014467459
269,340,PEOPLES BANK BILOXI MS,0.0014610243
270,13232,SECURITY STATE BANK,0.001499418
271,3225,TITAN BANK N A,0.0015722623
272,13798,FIRST NB IN FREDONIA,0.0015858054
273,17982,WALTON STATE BANK,0.0015897615
274,30183,MILLVILLE SAVINGS BANK,0.0016125259
275,9499,THREAD BANK,0.0016218541
276,24085,CITIZENS NATIONAL BANK,0.0016261638
277,8946,KINDRED STATE BANK,0.0016751119
278,17073,PEOPLES BANK,0.0016822934
279,3430,WESTAMERICA BANK,0.0016892285
280,7031,FIRST NB OF DRYDEN,0.0017161979
281,11932,FIRST SECURITY STATE BANK,0.0017492994
282,10965,LAKE REGION BANK,0.0018080137
283,13611,BANK OF MEAD,0.0018263306
284,9978,FIRST STATE BANK OF UVALDE,0.0018523072
285,22358,CITIZENS BANK,0.0019183562
286,35056,MADISON CNTY CMTY BANK,0.0019208913
287,1730,PEOPLES BANK OF GREENSBORO,0.0019213747
288,2328,AMERICAN EXC BK LINDSAY OK,0.001933173
289,183,MERCHANTS&CITIZENS BANK,0.0019486042
290,5232,FIRST NB OF PROCTOR,0.0019486351
291,10125,CITIZENS SAVINGS BANK,0.0019549048
292,33552,BOONE BANK&TRUST CO,0.0019590796
293,26876,SAFRA NB OF NEW YORK,0.002029154
294,52,CITIZENS BANK OF WINFIELD,0.0020324911
295,22839,LATIMER STATE BANK,0.0020968292
296,18838,EXCHANGE STATE BANK,0.0021033117
297,10821,CLAY COUNTY STATE BANK,0.0021599522
298,26738,TEXAS FINANCIAL BANK,0.0021638593
299,2359,MAUCH CHUNK TRUST CO,0.0021867803
300,6198,HIGHLAND STATE BANK,0.002269106
301,4652,NINNESCAH VALLEY BANK,0.0023955945
302,5779,PEOPLES BANK,0.0023956823
303,22229,COMMONWEALTH NATIONAL BANK,0.0024109357
304,1639,FCNB BANK,0.0024363955
305,27219,INDEPENDENT CORRESPONDENT BA,0.0024462328
306,11013,FIRST STATE BANK OF SHELBY,0.0024545894
307,3827,OLD EXCHANGE NB OF OKAWVILLE,0.002462343
308,15778,GRANT COUNTY BANK,0.0024828445
309,4033,BANCCENTRAL NATIONAL ASSN,0.0024976102
310,1417,WOODLANDS NATIONAL BANK,0.0026053563
311,4190,AMERICAN HERITAGE BANK,0.0026566484
312,2229,RSNB BANK,0.0027186843
313,3579,FIRST NB OF MOUNT DORA,0.0027245835
314,49,BANK OF EVERGREEN,0.0027454153
315,18448,SECURITY STATE BANK,0.0027608112
316,15427,CHELSEA SAVINGS BANK,0.002762752
317,10843,CITIZENS BANK OF CHATSWORTH,0.0027764542
318,12107,FARMERS STATE BANK,0.0027840077
319,58184,MERCHANTS COMMERCIAL BANK,0.0028189963
320,17975,COMMERCIAL BANK OF OZARK,0.0028267482
321,17813,BANK OF HAZELTON,0.002864151
322,21807,LOVELADY STATE BANK,0.0028677292
323,12259,LEA COUNTY STATE BANK,0.002881261
324,11324,FARMERS&MERCHANTS STB BUSHNE,0.0029396699
325,10816,GRAND RIVERS COMMUNITY BANK,0.0029513866
326,20239,BANK OF CADIZ&TRUST CO,0.0029804003
327,17096,LIBERTY STATE BANK,0.0029864672
328,11407,HIGHPOINT COMMUNITY BANK,0.0029954263
329,12315,FIRST STATE BANK,0.0030305393
330,57295,AMG NATIONAL TRUST BANK,0.0030467543
331,4678,CITIZENS NATIONAL BANK,0.003062751
332,16667,WASHINGTON STATE BANK,0.0030775745
333,17922,STRASBURG STATE BANK,0.003080249
334,6088,UNION BANK,0.0030838589
335,14642,COMMERCIAL BANK,0.0030850314
336,14399,HASKELL NATIONAL BANK,0.0031078549
337,314,MER ROUGE STATE BANK,0.003134531
338,2249,WESTERN BANK,0.003182624
339,5686,BANK OF EDISON,0.0032007026
340,6732,CITIZENS NB OF WOODSFIELD,0.0032361937
341,8535,FIRST COMMUNITY BANK,0.0032403655
342,9354,FARMERS STB OF HOFFMAN,0.0032431432
343,13784,NORTHERN INTERSTATE BANK N A,0.003269507
344,14779,CITIZENS NB AT BROWNWOOD,0.00329196
345,22636,COMMUNITY BANK OF MARSHALL,0.0033320668
346,21693,LAKESIDE BANK,0.003348653
347,10243,FIRST STATE BANK OF GOLVA,0.003382243
348,30953,EL DORADO SAVINGS BANK FSB,0.0034194675
349,18094,MARQUETTE FARMERS STB MARQUE,0.003431986
350,25750,COMMUNITY BANK,0.0034703582
351,5699,BANK OF WRIGHTSVILLE,0.0034706274
352,926,PEOPLES NB OF KEWANEE,0.0034901083
353,1165,FIRST BANK OF OKARCHE,0.0034988187
354,57192,GOGEBIC RANGE BANK,0.003509773
355,5536,FIRST NB OF STANTON,0.0035129655
356,24867,BNY MELLON TRUST OF DELAWARE,0.0035309454
357,19744,CITIZENS B&T CO OF VIVIAN LA,0.003571398
358,58224,COLUMN NATIONAL ASSN,0.0035928055
359,11411,RUSHFORD STATE BANK INC,0.0035986695
360,29582,PEE DEE FEDERAL SAVINGS BANK,0.0036050498
361,10503,FIRST STATE BANK,0.0036108831
362,16810,FARMERS&MERCHANTS BANK,0.0036152753
363,4071,FNB COWETA,0.0036337972
364,8126,COMMONWEALTH CMTY BANK INC,0.0036505417
365,12162,ELKTON BANK&TRUST CO,0.0036566304
366,3837,FIRST NB OF SPARTA,0.0036609105
367,16656,SECURITY STB OF AITKIN,0.003670946
368,913,NORTHERN TRUST CO,0.0036885985
369,14674,FIRST NATIONAL BANK IN AMBOY,0.0036944363
370,17572,FIRST NB IN TAYLORVILLE,0.003706191
371,6584,COMMUNITY FIRST BANK NA,0.0037786742
372,8552,GREAT SOUTHERN BANK,0.00378295
373,19440,FIRST FINANCIAL BANK,0.0038474454
374,22242,UNION BANK&TRUST CO,0.0038618767
375,11711,BANK OF RANTOUL,0.003885087
376,879,FARMERS STATE BANK,0.0038934324
377,4668,FIRST NB IN FRANKFORT,0.0039248546
378,58745,FIRST NM BANK LAS CRUCES,0.0039278297
379,4621,FARMERS BANK&TRUST,0.0039284816
380,35314,ALAMERICA BANK,0.0039482685
381,15593,IPSWICH STATE BANK,0.0039492776
382,15930,MAXWELL STATE BANK,0.003965855
383,11559,FIRST STATE BANK&TRUST CO,0.0040007695
384,14293,CITIZENS BANK&TRUST,0.0040108017
385,2391,SECURITY BANK,0.0040113493
386,17580,FNBT BANK,0.0040170625
387,11810,HURON COMMUNITY BANK,0.0040388536
388,18454,ZAPATA NATIONAL BANK,0.0040405574
