REPDTE,CERT,NAME,STALP,DEPDOM,ASSET,LNLSNET,CHBAL,EQ
20130331,10002,PROGRESSIVE BANK NA,WV,250940,313297,98628,23940,34868.0
20130331,10004,FARMERS STATE BANK,WI,60974,72425,34743,2660,10646.0
20130331,10007,FIRST BANK,WI,98841,111533,82991,2443,9928.0
20130331,10011,WOODFORD STATE BANK,WI,156392,177242,110309,28214,17281.0
20130331,10012,PORTAGE COUNTY BANK,WI,90905,100671,62800,24250,9534.0
20130331,10015,SECURITY BANK,WI,60701,71588,50137,3003,9462.0
20130331,1001,MASON STATE BANK,MI,93404,130391,81670,20802,13232.0
20130331,10032,COMMUNITY NB NORWESTERN PA,PA,62642,78270,37053,18169,15543.0
20130331,10036,NATIONAL B&T CO OF SYCAMORE,IL,570910,635370,333914,122180,61781.0
20130331,1003,CHEMICAL BANK,MI,5007604,5977933,4117277,578726,588076.0
20130331,10040,CENTRAL NB&T CO,IN,55217,71251,13443,15338,11632.0
20130331,10044,NATIONAL EXCHANGE BANK&TRUST,WI,993129,1347201,636510,350156,222067.0
20130331,10045,CORNERSTONE BANK INC,WV,93055,109857,31190,2548,15516.0
20130331,10055,PATTERSON BANK,GA,100755,110616,69899,18102,5109.0
20130331,10057,BANK OF HANCOCK COUNTY,GA,68248,87258,33168,10928,18446.0
20130331,1005,ISABELLA BANK,MI,1031599,1380081,760701,23159,114522.0
20130331,10072,PLANTERS&CITIZENS BANK,GA,97563,108116,25559,59002,10041.0
20130331,10074,WILKINSON COUNTY BANK,GA,46458,53117,25012,5372,6122.0
20130331,10075,PEOPLES STATE BANK OF COLFAX,IL,32939,36932,14266,12397,3778.0
20130331,10077,FARMERS STATE BANK OF EMDEN,IL,33065,41947,7856,2069,8638.0
20130331,10080,REYNOLDS STATE BANK,IL,69109,93204,6030,3273,22294.0
20130331,1008,OSB COMMUNITY BANK,MI,67926,76532,52479,12578,6533.0
20130331,10101,NAPOLEON STATE BANK,IN,178419,196303,133074,11830,16860.0
20130331,10111,OHNWARD BANK&TRUST,IA,160018,194196,141393,10744,22812.0
20130331,10114,COMMUNITY STATE BANK,IA,103113,114438,46968,30349,9424.0
20130331,10118,LEIGHTON STATE BANK,IA,87059,110824,84172,2808,14069.0
20130331,10120,AMERICAN TRUST&SAVINGS BANK,IA,30727,37811,7392,4143,6358.0
20130331,10121,LIBERTY TRUST&SAVINGS BANK,IA,117216,143188,55833,6433,24184.0
20130331,10122,FARMERS SAVINGS BANK&TRUST,IA,159222,175849,70619,22920,12315.0
20130331,10123,FIRST TRUST&SAVINGS BANK,IA,43010,49674,19071,1392,5294.0
20130331,10125,CITIZENS SAVINGS BANK,IA,110067,123307,50520,2869,11122.0
20130331,10127,SUCCESS BANK,IA,104514,119875,96440,8254,14321.0
20130331,10131,WEST CHESTER SAVINGS BANK,IA,40977,47096,26328,955,4889.0
20130331,10132,EXCHANGE STATE BANK,IA,88252,106629,71137,10913,9685.0
20130331,10137,COMMERCIAL BANK OF GRAYSON,KY,138493,167984,62574,14116,26329.0
20130331,10142,KEVIL BANK,KY,27678,32130,6264,2775,4412.0
20130331,10145,HART COUNTY BANK&TRUST CO,KY,23695,28709,8631,9186,4943.0
20130331,10146,COMMONWEALTH BANK&TRUST CO,KY,662934,805248,499599,13293,72384.0
20130331,1014,CHOICEONE BANK,MI,426020,509795,310638,17746,60559.0
20130331,10157,SHELBY STATE BANK,MI,192916,222729,119011,11630,20823.0
20130331,10159,FIRST STATE BANK&TRUST,MN,187831,207192,129235,18865,17217.0
20130331,10160,STEARNS BANK HOLDINGFORD NA,MN,99752,114120,87425,1321,14297.0
20130331,10161,LANDMARK COMMUNITY BANK NA,MN,88832,100164,65819,8875,6811.0
20130331,10162,FIRST STATE BANK MINNESOTA,MN,60014,65885,33329,7470,5437.0
20130331,10163,SECURITY STB OF MARINE,MN,100447,111847,75687,23828,10955.0
20130331,10165,FARMERS&MERCHANTS STB PIERZ,MN,153458,173245,111638,8237,18002.0
20130331,10166,PRIOR LAKE STATE BANK,MN,171500,198472,101716,9192,26401.0
20130331,10167,CITIZENS STB OF ROSEAU,MN,179881,208865,81002,2899,26195.0
