CERT,REPDTE,BKCLASS,CALLFORM,DEPUNA,DEPUNINS,ACTEVT
10002,20100331,N,41,0,13698,
10004,20100331,NM,41,0,1395,
10007,20100331,NM,41,0,8447,
10011,20100331,NM,41,0,4245,
10012,20100331,NM,41,0,26208,
10015,20100331,NM,41,0,1601,
1001,20100331,NM,41,0,18274,
10032,20100331,N,41,0,8105,
10036,20100331,N,41,0,131845,
1003,20100331,SM,41,756876,756876,
10040,20100331,N,41,0,7878,
10044,20100331,N,41,493499,493499,
10045,20100331,NM,41,0,13565,
10055,20100331,NM,41,0,22147,
10057,20100331,NM,41,0,1552,
1005,20100331,SM,41,136112,136112,
10072,20100331,NM,41,0,13725,
10073,20100331,NM,41,0,116303,
10074,20100331,NM,41,0,11451,
10075,20100331,NM,41,0,162,
10077,20100331,NM,41,0,3150,
10080,20100331,NM,41,0,7967,
10086,20100331,N,41,0,6549,
1008,20100331,SM,41,0,1506,
10101,20100331,NM,41,0,7804,
10111,20100331,NM,41,0,12480,810
10114,20100331,NM,41,0,9947,
10118,20100331,NM,41,0,7065,
10120,20100331,NM,41,0,909,
10121,20100331,NM,41,0,5129,
10122,20100331,NM,41,0,11103,810
10123,20100331,NM,41,0,5638,
10125,20100331,NM,41,0,16696,
10127,20100331,NM,41,0,10825,
10130,20100331,SM,41,0,28196,
10131,20100331,SM,41,0,1623,
10132,20100331,NM,41,0,7331,
10137,20100331,NM,41,0,5455,
10142,20100331,NM,41,0,837,
10145,20100331,NM,41,0,1338,
10146,20100331,NM,41,0,106655,
1014,20100331,SM,41,0,14190,810
10157,20100331,NM,41,0,12271,
10159,20100331,NM,41,0,28582,
10160,20100331,N,41,0,16398,
10161,20100331,N,41,0,8613,
10162,20100331,NM,41,0,3499,
10163,20100331,NM,41,0,3743,
10165,20100331,NM,41,0,21822,
10166,20100331,NM,41,0,29265,
10167,20100331,NM,41,0,27533,
10168,20100331,NM,41,0,9654,
10169,20100331,NM,41,0,7215,
10170,20100331,NM,41,0,2608,
10171,20100331,NM,41,0,1842,
10173,20100331,NM,41,0,1331,
10174,20100331,NM,41,0,1625,
10175,20100331,NM,41,0,11222,
10176,20100331,NM,41,0,1493,
10178,20100331,NM,41,0,1265,
10179,20100331,NM,41,0,10598,
10184,20100331,NM,41,0,7009,
10185,20100331,NM,41,0,13436,
10186,20100331,NM,41,0,698,
10187,20100331,NM,41,0,1053,
10191,20100331,NM,41,0,1240,
10192,20100331,NM,41,0,31844,
10194,20100331,NM,41,0,6871,
10196,20100331,N,41,0,2855,
10197,20100331,NM,41,0,361,
10198,20100331,NM,41,0,7189,
101,20100331,NM,41,0,5971,
10200,20100331,NM,41,0,797,
10201,20100331,NM,41,0,6908,
10202,20100331,NM,41,0,1038,
10203,20100331,NM,41,0,39027,
10204,20100331,NM,41,0,772,
10206,20100331,NM,41,0,8471,
10207,20100331,NM,41,0,3711,
10208,20100331,NM,41,0,2871,
1020,20100331,SM,31,16070626,16070626,810
10212,20100331,NM,41,0,12974,
10214,20100331,NM,41,0,81084,
10216,20100331,NM,41,0,56726,
10218,20100331,NM,41,0,29110,
1022,20100331,N,41,0,33529,
10236,20100331,NM,41,0,12352,
10243,20100331,NM,41,0,6357,
10248,20100331,NM,41,0,201622,811
10249,20100331,NM,41,0,26922,
10250,20100331,NM,41,0,1915,
10253,20100331,NM,41,0,9264,
10255,20100331,NM,41,0,30664,
10266,20100331,NM,41,0,5112,
10267,20100331,SM,41,0,25639,
1027,20100331,SM,41,0,38477,
10280,20100331,NM,41,0,6468,
1028,20100331,NM,41,0,10228,
10306,20100331,SM,41,0,6753,
10307,20100331,NM,41,0,92982,810
10308,20100331,SM,41,0,53548,
10315,20100331,SM,41,0,9324,
10316,20100331,NM,41,0,1004,
10317,20100331,NM,41,0,17907,
10318,20100331,NM,41,0,43343,
10319,20100331,NM,41,0,6399,
10327,20100331,NM,41,0,1280,
10330,20100331,NM,41,0,9171,
10334,20100331,NM,41,0,447,
10344,20100331,NM,41,0,42908,
10345,20100331,NM,41,0,17668,
10352,20100331,SM,41,0,1532,
10359,20100331,NM,41,446462,446462,810
10363,20100331,NM,41,0,87217,
10374,20100331,NM,41,0,11908,
10375,20100331,NM,41,0,2657,
10378,20100331,NM,41,0,8177,810
10380,20100331,NM,41,0,10876,
10382,20100331,NM,41,0,10423,
10383,20100331,SM,41,0,66624,
10384,20100331,NM,41,0,4496,
1039,20100331,NM,41,277562,277562,
10407,20100331,NM,41,0,8994,
1040,20100331,SM,41,56192,56192,
10430,20100331,NM,41,0,1953,
10432,20100331,NM,41,0,547,
10434,20100331,NM,41,0,9899,
10437,20100331,NM,41,0,1478,
10438,20100331,NM,41,0,14286,
10439,20100331,NM,41,0,798,
10446,20100331,NM,41,0,2774,
10448,20100331,NM,41,0,18993,
10450,20100331,NM,41,0,50237,
10458,20100331,NM,41,0,2421,
10460,20100331,NM,41,0,32327,
10463,20100331,NM,41,0,664,
10464,20100331,NM,41,0,12101,
10467,20100331,NM,41,0,3843,
10469,20100331,NM,41,0,2455,
10471,20100331,SM,41,0,241,
10473,20100331,NM,41,0,6736,
10474,20100331,NM,41,0,7909,
1047,20100331,NM,41,0,20549,
10485,20100331,SM,41,0,18315,
10489,20100331,NM,41,0,792,
10491,20100331,SM,41,0,9523,
10492,20100331,NM,41,0,8313,
10494,20100331,NM,41,0,12373,
10497,20100331,NM,41,0,8249,
1049,20100331,N,41,0,20453,
10500,20100331,NM,41,0,3150,
10502,20100331,SM,41,0,5026,
10503,20100331,SM,41,0,5584,
10505,20100331,NM,41,0,17801,
10506,20100331,SM,41,0,304,
10508,20100331,NM,41,0,12688,
10514,20100331,NM,41,0,2170,
1051,20100331,SM,41,0,1149,
10520,20100331,NM,41,0,2860,
10523,20100331,NM,41,0,24980,
10526,20100331,NM,41,0,8090,
10528,20100331,NM,41,0,21862,
10531,20100331,NM,41,0,4582,820
10532,20100331,NM,41,0,8584,
10533,20100331,NM,41,0,18555,
10534,20100331,NM,41,0,50512,
10559,20100331,NM,41,0,1995,
10561,20100331,NM,41,0,3736,
10566,20100331,SM,41,0,6417,
10567,20100331,NM,41,0,162,
10568,20100331,SB,100,782,782,811
1056,20100331,NM,41,0,3902,
10571,20100331,NM,41,0,3423,
10576,20100331,NM,41,0,928,
1057,20100331,NM,41,0,43104,
10581,20100331,NM,41,0,45613,
10582,20100331,NM,41,0,654,
10588,20100331,NM,41,0,20619,
1058,20100331,SM,41,321127,321127,810
