CERT,NAME,report_date,deposit_m,runoff_m,Priority score,Review
14,STATE STREET BANK&TRUST CO,2024-03-31,190845.0,11326.0,1109.5879929801076,True
14,STATE STREET BANK&TRUST CO,2024-06-30,179519.0,0.0,1171.5289022175796,True
14,STATE STREET BANK&TRUST CO,2024-09-30,182432.0,0.0,931.3161332086643,True
35,AUBURNBANK,2024-03-31,900.85,0.0,5.082241272704551,False
35,AUBURNBANK,2024-06-30,947.493,44.732,7.769285915374697,False
35,AUBURNBANK,2024-09-30,902.761,5.936,5.092595583875246,False
39,ROBERTSON BANKING CO,2024-03-31,414.927,0.0,2.39629833699571,False
39,ROBERTSON BANKING CO,2024-06-30,417.79,3.402,3.2483768094012375,False
39,ROBERTSON BANKING CO,2024-09-30,414.388,2.182,2.160141640089822,False
41,PHENIX-GIRARD BANK,2024-03-31,276.535,2.569,2.6394536965618425,False
41,PHENIX-GIRARD BANK,2024-06-30,273.966,0.0,3.1702786548576563,False
41,PHENIX-GIRARD BANK,2024-09-30,280.279,0.0,2.747079754563987,False
49,BANK OF EVERGREEN,2024-03-31,67.944,0.094,0.43874818465820875,False
49,BANK OF EVERGREEN,2024-06-30,67.85,0.0,0.5795883319844009,False
49,BANK OF EVERGREEN,2024-09-30,68.811,0.428,0.4930871296965075,False
50,COMMUNITY SPIRIT BANK,2024-03-31,181.741,0.0,1.2639480474729476,False
50,COMMUNITY SPIRIT BANK,2024-06-30,188.135,0.0,1.7048234609267472,False
50,COMMUNITY SPIRIT BANK,2024-09-30,188.93,0.0,1.2549984616817453,False
51,BANK OF VERNON,2024-03-31,277.398,0.0,1.865169040811586,False
51,BANK OF VERNON,2024-06-30,279.396,0.0,2.438343731932693,False
51,BANK OF VERNON,2024-09-30,298.472,0.0,1.9398103905168194,False
52,CITIZENS BANK OF WINFIELD,2024-03-31,269.241,41.287,2.173282608605249,False
52,CITIZENS BANK OF WINFIELD,2024-06-30,227.954,0.0,2.3700437158341043,False
52,CITIZENS BANK OF WINFIELD,2024-09-30,229.797,0.246,1.763378541944302,False
54,EXCHANGE BANK OF ALABAMA,2024-03-31,324.626,0.0,1.9391362988690561,False
54,EXCHANGE BANK OF ALABAMA,2024-06-30,328.413,3.79,2.667830534652064,False
54,EXCHANGE BANK OF ALABAMA,2024-09-30,324.623,0.0,1.8125520699921374,False
58,UNITED BANK,2024-03-31,1008.343,2.477,5.569886851700009,False
58,UNITED BANK,2024-06-30,1005.866,0.0,6.849485739062773,False
58,UNITED BANK,2024-09-30,1154.084,0.0,5.695572441098907,False
70,PEOPLES EXCHANGE BANK,2024-03-31,86.306,0.0,0.41523836763910194,False
70,PEOPLES EXCHANGE BANK,2024-06-30,87.671,0.0,0.6004283180046147,False
70,PEOPLES EXCHANGE BANK,2024-09-30,88.137,4.483,0.45312876763724946,False
72,CENTRAL STATE BANK,2024-03-31,549.647,0.0,3.5363034763296013,False
72,CENTRAL STATE BANK,2024-06-30,568.26,0.0,4.875425794717302,False
72,CENTRAL STATE BANK,2024-09-30,619.857,18.267,4.069054759791865,False
