CERT,NAME,date,Outcome status,history_eligible,exclusion_reason
14,STATE STREET BANK&TRUST CO,2024-03-31,Usable adjacent outcome,True,Eligible
14,STATE STREET BANK&TRUST CO,2024-06-30,Usable adjacent outcome,True,Eligible
14,STATE STREET BANK&TRUST CO,2024-09-30,Usable adjacent outcome,True,Eligible
35,AUBURNBANK,2024-03-31,Usable adjacent outcome,True,Eligible
35,AUBURNBANK,2024-06-30,Usable adjacent outcome,True,Eligible
35,AUBURNBANK,2024-09-30,Usable adjacent outcome,True,Eligible
39,ROBERTSON BANKING CO,2024-03-31,Usable adjacent outcome,True,Eligible
39,ROBERTSON BANKING CO,2024-06-30,Usable adjacent outcome,True,Eligible
39,ROBERTSON BANKING CO,2024-09-30,Usable adjacent outcome,True,Eligible
41,PHENIX-GIRARD BANK,2024-03-31,Usable adjacent outcome,True,Eligible
41,PHENIX-GIRARD BANK,2024-06-30,Usable adjacent outcome,True,Eligible
41,PHENIX-GIRARD BANK,2024-09-30,Usable adjacent outcome,True,Eligible
49,BANK OF EVERGREEN,2024-03-31,Usable adjacent outcome,True,Eligible
49,BANK OF EVERGREEN,2024-06-30,Usable adjacent outcome,True,Eligible
49,BANK OF EVERGREEN,2024-09-30,Usable adjacent outcome,True,Eligible
50,COMMUNITY SPIRIT BANK,2024-03-31,Usable adjacent outcome,True,Eligible
50,COMMUNITY SPIRIT BANK,2024-06-30,Usable adjacent outcome,True,Eligible
50,COMMUNITY SPIRIT BANK,2024-09-30,Usable adjacent outcome,True,Eligible
51,BANK OF VERNON,2024-03-31,Usable adjacent outcome,True,Eligible
51,BANK OF VERNON,2024-06-30,Usable adjacent outcome,True,Eligible
51,BANK OF VERNON,2024-09-30,Usable adjacent outcome,True,Eligible
52,CITIZENS BANK OF WINFIELD,2024-03-31,Usable adjacent outcome,True,Eligible
52,CITIZENS BANK OF WINFIELD,2024-06-30,Usable adjacent outcome,True,Eligible
52,CITIZENS BANK OF WINFIELD,2024-09-30,Usable adjacent outcome,True,Eligible
54,EXCHANGE BANK OF ALABAMA,2024-03-31,Usable adjacent outcome,True,Eligible
54,EXCHANGE BANK OF ALABAMA,2024-06-30,Usable adjacent outcome,True,Eligible
54,EXCHANGE BANK OF ALABAMA,2024-09-30,Usable adjacent outcome,True,Eligible
58,UNITED BANK,2024-03-31,Usable adjacent outcome,True,Eligible
58,UNITED BANK,2024-06-30,Usable adjacent outcome,True,Eligible
58,UNITED BANK,2024-09-30,Usable adjacent outcome,True,Eligible
70,PEOPLES EXCHANGE BANK,2024-03-31,Usable adjacent outcome,True,Eligible
70,PEOPLES EXCHANGE BANK,2024-06-30,Usable adjacent outcome,True,Eligible
70,PEOPLES EXCHANGE BANK,2024-09-30,Usable adjacent outcome,True,Eligible
72,CENTRAL STATE BANK,2024-03-31,Usable adjacent outcome,True,Eligible
72,CENTRAL STATE BANK,2024-06-30,Usable adjacent outcome,True,Eligible
72,CENTRAL STATE BANK,2024-09-30,Usable adjacent outcome,True,Eligible
77,BANKSOUTH,2024-03-31,Usable adjacent outcome,True,Eligible
77,BANKSOUTH,2024-06-30,Usable adjacent outcome,True,Eligible
