group,CERT,NAME,date,DEPDOM,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
Both,27330,SILVERGATE BANK,2022-06-30,13512395,16.419117970316616,0.12057521708356257,0.0933847539573186,0.07859633717190431,0.0070936475952330024
Both,27330,SILVERGATE BANK,2022-09-30,13277731,16.401598828980863,0.12357006785399367,0.09119173848418023,0.07279837341125199,-0.017519141335753958
Both,27330,SILVERGATE BANK,2022-12-31,6343796,15.662987885411573,0.4029271998038293,0.05198224739495988,0.0503610556014352,-0.73861094356929
Both,27330,SILVERGATE BANK,2023-03-31,1504149,14.223737847733835,0.720984824944402,0.050830974548454866,0.12312273776710654,-1.4392500376777377
Both,27330,SILVERGATE BANK,2023-06-30,947257,13.761325718666159,0.9640684060827585,0.0001372238370279812,0.16636285101233766,-0.4624121290676761
Both,27330,SILVERGATE BANK,2023-09-30,616750,13.332219034391603,0.9763705850346317,0.0,0.233768298896306,-0.42910668427455495
Both,27330,SILVERGATE BANK,2023-12-31,6,1.791759469228055,0.9605227971653965,0.0,0.7939229843561973,-11.540459565163548
Both,27330,SILVERGATE BANK,2024-03-31,2,0.6931471805599453,0.9620933225002624,0.0,0.6892981958271944,-1.0986122886681098
Forecast only,27010,YOUNG AMERICANS BANK,2022-06-30,20699,9.937840668907791,0.8437720225510923,0.0015415785764622974,0.08311310782241015,-0.023821447679409705
Forecast only,27010,YOUNG AMERICANS BANK,2022-09-30,20430,9.924759687811667,0.857449184721912,0.001027473754746482,0.08192986374804556,-0.013080981096122804
Forecast only,27010,YOUNG AMERICANS BANK,2022-12-31,20023,9.90463689179265,0.8792034994987697,0.0007746286339196209,0.07983231568395152,-0.020122796019018244
Forecast only,27010,YOUNG AMERICANS BANK,2023-03-31,20295,9.918129829272997,0.8671363410558641,0.0012193469719550196,0.07826401119992774,0.01349293748034867
Forecast only,27010,YOUNG AMERICANS BANK,2023-06-30,19921,9.899529730681785,0.8712798642637685,0.001604989223643784,0.08093731370660796,-0.018600098591214146
Forecast only,27010,YOUNG AMERICANS BANK,2023-09-30,18941,9.849084163656741,0.9338146811070999,0.0009626955475330926,0.0825511432009627,-0.05044556702504239
Forecast only,27010,YOUNG AMERICANS BANK,2023-12-31,17248,9.755451473708725,0.9494683650910622,0.0007369196757553427,0.08516685966943889,-0.09363268994801785
Forecast only,27010,YOUNG AMERICANS BANK,2024-03-31,16426,9.706620724300137,0.9635100870907287,0.0005512071436445816,0.08797266012567523,-0.04883074940858606
Anomaly only,57083,PLUS INTERNATIONAL BANK,2022-06-30,47888,10.77662023009248,0.23824517553113791,0.7436904549364582,0.21459756869491828,-0.30543000683236915
Anomaly only,57083,PLUS INTERNATIONAL BANK,2022-09-30,55583,10.92563267809028,0.05425572463130736,0.5937344240185299,0.17621016213680477,0.14901244799779897
Anomaly only,57083,PLUS INTERNATIONAL BANK,2022-12-31,47029,10.75851971168943,0.13860016090104585,0.5704746580852775,0.19246983105390186,-0.1671129664008487
Anomaly only,57083,PLUS INTERNATIONAL BANK,2023-03-31,39747,10.590289645536233,0.06753935256631384,0.6299860200802484,0.21975707619964052,-0.16823006615319752
Anomaly only,57083,PLUS INTERNATIONAL BANK,2023-06-30,37292,10.526534105416584,0.05421560999677401,0.6070174772757463,0.23018388143537583,-0.06375554011964857
Anomaly only,57083,PLUS INTERNATIONAL BANK,2023-09-30,32437,10.387055025531255,0.08519045030731279,0.5382782121503533,0.25264456244512273,-0.13947907988532948
Anomaly only,57083,EMIGRANT BANK,2023-12-31,4696889,15.36241093262429,0.06330266792865616,0.7395240240461545,0.22910235764329231,4.975355907093036
Anomaly only,57083,EMIGRANT BANK,2024-03-31,4670784,15.356837495640448,0.06282988502283933,0.7400170265305527,0.23163533864108926,-0.005573436983841729
