CERT,date,Ridge,MLP,Low equity/assets,Largest deposits,PCA,Isolation Forest 42,Isolation Forest 7,Isolation Forest 99,Autoencoder 42,Autoencoder 7,Autoencoder 99,PCA without size,Isolation Forest 42 without size,Isolation Forest 7 without size,Isolation Forest 99 without size,Autoencoder 42 without size,Autoencoder 7 without size,Autoencoder 99 without size
14,2024-03-31,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False
14,2024-06-30,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False
14,2024-09-30,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False
35,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,2024-03-31,True,True,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
41,2024-06-30,True,False,True,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
41,2024-09-30,True,True,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True
49,2024-03-31,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,2024-06-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,2024-09-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2024-06-30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,2024-03-31,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False
52,2024-06-30,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False
52,2024-09-30,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
