date,method,eligible,selected,target_count,captured,capture_per_selected
2024-03-31,Ridge,4518,452,452,111,0.24557522123893805
2024-03-31,MLP,4518,452,452,107,0.23672566371681417
2024-03-31,Low equity/assets,4518,452,452,52,0.11504424778761062
2024-03-31,Largest deposits,4518,452,452,28,0.061946902654867256
2024-03-31,PCA,4518,452,452,84,0.18584070796460178
2024-03-31,Isolation Forest 42,4518,452,452,87,0.19247787610619468
2024-03-31,Isolation Forest 7,4518,452,452,82,0.18141592920353983
2024-03-31,Isolation Forest 99,4518,452,452,84,0.18584070796460178
2024-03-31,Autoencoder 42,4518,452,452,99,0.21902654867256638
2024-03-31,Autoencoder 7,4518,452,452,94,0.2079646017699115
2024-03-31,Autoencoder 99,4518,452,452,95,0.21017699115044247
2024-03-31,PCA without size,4518,452,452,79,0.1747787610619469
2024-03-31,Isolation Forest 42 without size,4518,452,452,98,0.2168141592920354
2024-03-31,Isolation Forest 7 without size,4518,452,452,98,0.2168141592920354
2024-03-31,Isolation Forest 99 without size,4518,452,452,102,0.22566371681415928
2024-03-31,Autoencoder 42 without size,4518,452,452,93,0.20575221238938052
2024-03-31,Autoencoder 7 without size,4518,452,452,90,0.19911504424778761
2024-03-31,Autoencoder 99 without size,4518,452,452,96,0.21238938053097345
2024-06-30,Ridge,4501,451,451,110,0.24390243902439024
2024-06-30,MLP,4501,451,451,90,0.19955654101995565
2024-06-30,Low equity/assets,4501,451,451,66,0.14634146341463414
2024-06-30,Largest deposits,4501,451,451,23,0.050997782705099776
2024-06-30,PCA,4501,451,451,76,0.16851441241685144
2024-06-30,Isolation Forest 42,4501,451,451,80,0.17738359201773837
2024-06-30,Isolation Forest 7,4501,451,451,74,0.164079822616408
2024-06-30,Isolation Forest 99,4501,451,451,72,0.15964523281596452
2024-06-30,Autoencoder 42,4501,451,451,82,0.18181818181818182
2024-06-30,Autoencoder 7,4501,451,451,78,0.1729490022172949
2024-06-30,Autoencoder 99,4501,451,451,78,0.1729490022172949
2024-06-30,PCA without size,4501,451,451,78,0.1729490022172949
2024-06-30,Isolation Forest 42 without size,4501,451,451,84,0.18625277161862527
2024-06-30,Isolation Forest 7 without size,4501,451,451,89,0.1973392461197339
2024-06-30,Isolation Forest 99 without size,4501,451,451,84,0.18625277161862527
2024-06-30,Autoencoder 42 without size,4501,451,451,87,0.19290465631929046
2024-06-30,Autoencoder 7 without size,4501,451,451,83,0.18403547671840353
2024-06-30,Autoencoder 99 without size,4501,451,451,79,0.17516629711751663
2024-09-30,Ridge,4471,448,448,75,0.16741071428571427
2024-09-30,MLP,4471,448,448,96,0.21428571428571427
2024-09-30,Low equity/assets,4471,448,448,52,0.11607142857142858
2024-09-30,Largest deposits,4471,448,448,35,0.078125
2024-09-30,PCA,4471,448,448,76,0.16964285714285715
2024-09-30,Isolation Forest 42,4471,448,448,70,0.15625
2024-09-30,Isolation Forest 7,4471,448,448,62,0.13839285714285715
2024-09-30,Isolation Forest 99,4471,448,448,67,0.14955357142857142
2024-09-30,Autoencoder 42,4471,448,448,93,0.20758928571428573
2024-09-30,Autoencoder 7,4471,448,448,95,0.21205357142857142
2024-09-30,Autoencoder 99,4471,448,448,88,0.19642857142857142
2024-09-30,PCA without size,4471,448,448,70,0.15625
2024-09-30,Isolation Forest 42 without size,4471,448,448,75,0.16741071428571427
2024-09-30,Isolation Forest 7 without size,4471,448,448,77,0.171875
2024-09-30,Isolation Forest 99 without size,4471,448,448,78,0.17410714285714285
2024-09-30,Autoencoder 42 without size,4471,448,448,91,0.203125
2024-09-30,Autoencoder 7 without size,4471,448,448,87,0.19419642857142858
2024-09-30,Autoencoder 99 without size,4471,448,448,94,0.20982142857142858
All three quarters,Autoencoder 42,13490,1351,1351,274,0.20281273131014063
All three quarters,Autoencoder 42 without size,13490,1351,1351,271,0.2005921539600296
All three quarters,Autoencoder 7,13490,1351,1351,267,0.19763138415988157
All three quarters,Autoencoder 7 without size,13490,1351,1351,260,0.19245003700962252
All three quarters,Autoencoder 99,13490,1351,1351,261,0.19319022945965952
All three quarters,Autoencoder 99 without size,13490,1351,1351,269,0.1991117690599556
All three quarters,Isolation Forest 42,13490,1351,1351,237,0.17542561065877127
All three quarters,Isolation Forest 42 without size,13490,1351,1351,257,0.19022945965951146
All three quarters,Isolation Forest 7,13490,1351,1351,218,0.16136195410806808
All three quarters,Isolation Forest 7 without size,13490,1351,1351,264,0.19541080680977055
All three quarters,Isolation Forest 99,13490,1351,1351,223,0.16506291635825315
All three quarters,Isolation Forest 99 without size,13490,1351,1351,264,0.19541080680977055
All three quarters,Largest deposits,13490,1351,1351,86,0.06365655070318282
All three quarters,Low equity/assets,13490,1351,1351,170,0.12583271650629163
All three quarters,MLP,13490,1351,1351,293,0.21687638786084382
All three quarters,PCA,13490,1351,1351,236,0.17468541820873426
All three quarters,PCA without size,13490,1351,1351,227,0.1680236861584012
All three quarters,Ridge,13490,1351,1351,296,0.21909696521095484
