CERT,date,method,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
14,2024-03-31,PCA,0.002274932586399642,0.18577412783916042,0.023348324805475853,0.007496077841178336,0.7811065369277856
14,2024-06-30,PCA,0.0037323425487110697,0.25552975995225014,0.04288869608108526,0.009178574735921435,0.688670626682032
14,2024-09-30,PCA,0.003484900042254607,0.29933169123595127,0.05606613062670533,0.01634352663274622,0.6247737514623425
35,2024-03-31,PCA,0.0010311472616938867,0.19907742259465958,0.5982991223357161,0.054532848255269356,0.14705945955266092
35,2024-06-30,PCA,0.0004276459369990642,0.3993270993024785,0.309681965005447,0.02922742927983173,0.26133586047524376
35,2024-09-30,PCA,0.00040318901850233506,0.4386553407181676,0.2368343027918138,0.039952305655511465,0.28415486181600486
39,2024-03-31,PCA,0.0001439515418685339,0.683332255038974,0.2079076991724943,0.011485728308120701,0.09713036593854237
39,2024-06-30,PCA,0.0001941948771429846,0.6117882836232836,0.313958251946794,0.05948943728576452,0.01456983226701482
39,2024-09-30,PCA,0.00068282145518221,0.43639725277251384,0.23153510334722363,0.19141986696592403,0.13996495545915624
41,2024-03-31,PCA,0.00085038129994898,0.5892357825508789,0.051012868653667026,0.2111385964020802,0.1477623710934248
41,2024-06-30,PCA,0.001200341349124614,0.5674585580396264,0.04326391489681704,0.22099795446302167,0.16707923125141033
41,2024-09-30,PCA,0.0012172757173021472,0.46356331181941607,0.049666503332331906,0.33906164045788917,0.14649126867306086
49,2024-03-31,PCA,0.003768598703843092,0.007508469421345472,0.07464647363232245,0.07727127781863301,0.8368051804238559
49,2024-06-30,PCA,0.003324613659853695,0.009374984655732716,0.16539769343267144,0.0720174695744828,0.7498852386772594
49,2024-09-30,PCA,0.003978165211620154,0.03195957204581164,0.15917909937124483,0.05913035397535533,0.745752809395968
50,2024-03-31,PCA,0.0021582396685979,0.48456079948730013,0.04695180747259379,0.029105534244187534,0.4372236191273207
50,2024-06-30,PCA,0.0026312141771080827,0.4769134028168769,0.061252706013097805,0.026281578127359612,0.43292109886555763
50,2024-09-30,PCA,0.0020403845187538334,0.46634687142656517,0.08816804075823712,0.03955848926273139,0.4038862140337124
51,2024-03-31,PCA,0.0003033002926339239,0.6804540680276873,0.18293243896894462,0.010145328126046616,0.1261648645846876
51,2024-06-30,PCA,0.001119460724262791,0.5731419523611128,0.1754408279835558,0.037030416519850264,0.2132673424112183
51,2024-09-30,PCA,0.0006309987575576284,0.551782101266585,0.028030914503739505,0.04074920454685075,0.37880678092526715
52,2024-03-31,PCA,0.00357100333210372,0.04519352332139689,0.023555713205443994,0.12594783889300915,0.8017319212480463
52,2024-06-30,PCA,0.00289188106430111,0.03987655958281001,0.04563356707381561,0.11362445751475705,0.7979735347643161
52,2024-09-30,PCA,0.003867886315523827,0.05179731492307943,0.061371028219137674,0.20217431283593781,0.6807894577063212
54,2024-03-31,PCA,0.0009683102469749675,0.7328963107150851,0.05723909907297587,0.024596150089989575,0.18430012987497452
54,2024-06-30,PCA,0.0009760172708708153,0.5689300880118414,0.08243867070362369,0.03994492400406534,0.3077103000095987
54,2024-09-30,PCA,0.002553004820466535,0.41281646129385735,0.14457265866046606,0.07646315188992361,0.3635947233352865
58,2024-03-31,PCA,0.001062291749694296,0.44559091605563234,0.14540971673805614,0.10857778773081711,0.29935928772580017
58,2024-06-30,PCA,0.0007725208254909372,0.44685977133556254,0.14918442417175076,0.09913489441790095,0.3040483892492948
58,2024-09-30,PCA,0.00151675562063277,0.36796253997738626,0.12914108634333962,0.1476561345002471,0.3537234835583942
70,2024-03-31,PCA,0.000636475136350103,0.251002672368138,0.25902282540090965,0.015535476136197924,0.4738025509584042
70,2024-06-30,PCA,0.0015472758477389843,0.3459095867485347,0.37261145951280455,0.016520888830636335,0.26341078906028526
70,2024-09-30,PCA,0.0006887790641258813,0.33936049394775303,0.3303558932748612,0.02512411695928326,0.30447071675397663
72,2024-03-31,PCA,0.0010264374871451524,0.5546955203505255,0.030149951465193284,0.025926812819851337,0.3882012778772847
72,2024-06-30,PCA,0.0012462941474988638,0.6058446802952616,0.04079658143715002,0.03137666278864557,0.320735781331444
72,2024-09-30,PCA,0.0012255359156196945,0.7049165177347653,0.043172798446248106,0.017116446774001,0.2335687011293659
77,2024-03-31,PCA,0.001440020076022682,0.4765384727395418,0.24934458407692522,0.015260634905460271,0.25741628820205
77,2024-06-30,PCA,0.0017219706105091538,0.48705111082337543,0.2121365044938048,0.012316383844705483,0.28677403022760495
77,2024-09-30,PCA,0.0017963334998526569,0.4589582806842753,0.148442519155452,0.009786282473966082,0.3810165841864539
81,2024-03-31,PCA,0.0026210217374970685,0.028277274599521063,0.3854601197043799,0.18316614713185456,0.4004754368267474
81,2024-06-30,PCA,0.002960955980813055,0.02019907609656929,0.30947129228756176,0.15148360417214488,0.515885071462911
81,2024-09-30,PCA,0.0027566204074739513,0.009396087189489278,0.10251863959131485,0.11755195063129618,0.7677767021804258
88,2024-03-31,PCA,0.004222069365151629,0.06584615868728447,0.0762789252265263,0.004677181905724613,0.8489756648153131
88,2024-06-30,PCA,0.0023004240825183057,0.16213778990667563,0.15943077156445012,0.004697298985984878,0.6714337154603711
88,2024-09-30,PCA,0.002101976041483685,0.18618585880479968,0.3248387153329637,0.0426300115480229,0.44424343827273005
89,2024-03-31,PCA,0.00041383831066013247,0.6501994834766429,0.18172575581339234,0.05393684713913802,0.1137240752601665
89,2024-06-30,PCA,0.0005130319135757934,0.652540021921069,0.1786229846824249,0.07200100632660754,0.09632295515632291
89,2024-09-30,PCA,0.0002994123033402648,0.6489592715396806,0.17184125345715368,0.06053761436403763,0.11836244833578781
90,2024-03-31,PCA,0.000802048962187589,0.22911995267970167,0.5067488468819251,0.12851881036674198,0.13481034110944362
90,2024-06-30,PCA,0.0026218465640112684,0.005106467412538679,0.007909960235792088,0.0123846037370469,0.9719771220506109
90,2024-09-30,PCA,0.0052313733289376186,0.015125497164963671,0.008829819956362154,0.04417934342559222,0.9266339661241444
93,2024-03-31,PCA,0.003193874794284762,0.18627872952128793,0.07775209814101985,0.07820866879692225,0.6545666287464853
93,2024-06-30,PCA,0.0013693784553759781,0.09818212166329865,0.06200689041381135,0.08496883468663853,0.7534727747808755
93,2024-09-30,PCA,0.0013068181778684036,0.0913177594966209,0.045227942660128924,0.04816665102256181,0.8139808286428201
94,2024-03-31,PCA,0.0012327608262072652,0.42288336295055395,0.14948649587128382,0.22001283371119695,0.20638454664075795
99,2024-03-31,PCA,0.0010879020828939085,0.14138962540328812,0.6503342200750468,0.032773994215586806,0.17441425822318418
99,2024-06-30,PCA,0.0006978688909752078,0.20363536738701601,0.5914753523909625,0.02905060380175127,0.1751408075292948
99,2024-09-30,PCA,0.0006361102715721933,0.36395034009235455,0.41213788017957453,0.02672370243481568,0.19655196702168312
