CERT,date,target_date
14,2013-06-30,2013-09-30
14,2013-09-30,2013-12-31
14,2013-12-31,2014-03-31
14,2014-03-31,2014-06-30
14,2014-06-30,2014-09-30
14,2014-09-30,2014-12-31
14,2014-12-31,2015-03-31
14,2015-03-31,2015-06-30
14,2015-06-30,2015-09-30
14,2015-09-30,2015-12-31
14,2015-12-31,2016-03-31
14,2016-03-31,2016-06-30
14,2016-06-30,2016-09-30
14,2016-09-30,2016-12-31
14,2016-12-31,2017-03-31
14,2017-03-31,2017-06-30
14,2017-06-30,2017-09-30
14,2017-09-30,2017-12-31
14,2017-12-31,2018-03-31
14,2018-03-31,2018-06-30
14,2018-06-30,2018-09-30
14,2018-09-30,2018-12-31
14,2018-12-31,2019-03-31
14,2019-03-31,2019-06-30
14,2019-06-30,2019-09-30
14,2019-09-30,2019-12-31
14,2019-12-31,2020-03-31
14,2020-03-31,2020-06-30
14,2020-06-30,2020-09-30
14,2020-09-30,2020-12-31
14,2020-12-31,2021-03-31
14,2021-03-31,2021-06-30
14,2021-06-30,2021-09-30
14,2021-09-30,2021-12-31
14,2021-12-31,2022-03-31
14,2022-03-31,2022-06-30
14,2022-06-30,2022-09-30
14,2022-09-30,2022-12-31
35,2013-06-30,2013-09-30
35,2013-09-30,2013-12-31
35,2013-12-31,2014-03-31
35,2014-03-31,2014-06-30
35,2014-06-30,2014-09-30
35,2014-09-30,2014-12-31
35,2014-12-31,2015-03-31
35,2015-03-31,2015-06-30
35,2015-06-30,2015-09-30
35,2015-09-30,2015-12-31
35,2015-12-31,2016-03-31
35,2016-03-31,2016-06-30
35,2016-06-30,2016-09-30
35,2016-09-30,2016-12-31
35,2016-12-31,2017-03-31
35,2017-03-31,2017-06-30
35,2017-06-30,2017-09-30
35,2017-09-30,2017-12-31
35,2017-12-31,2018-03-31
35,2018-03-31,2018-06-30
35,2018-06-30,2018-09-30
35,2018-09-30,2018-12-31
35,2018-12-31,2019-03-31
35,2019-03-31,2019-06-30
35,2019-06-30,2019-09-30
35,2019-09-30,2019-12-31
35,2019-12-31,2020-03-31
35,2020-03-31,2020-06-30
35,2020-06-30,2020-09-30
35,2020-09-30,2020-12-31
35,2020-12-31,2021-03-31
35,2021-03-31,2021-06-30
35,2021-06-30,2021-09-30
35,2021-09-30,2021-12-31
35,2021-12-31,2022-03-31
35,2022-03-31,2022-06-30
35,2022-06-30,2022-09-30
35,2022-09-30,2022-12-31
39,2013-06-30,2013-09-30
39,2013-09-30,2013-12-31
39,2013-12-31,2014-03-31
39,2014-03-31,2014-06-30
39,2014-06-30,2014-09-30
39,2014-09-30,2014-12-31
39,2014-12-31,2015-03-31
39,2015-03-31,2015-06-30
39,2015-06-30,2015-09-30
39,2015-09-30,2015-12-31
39,2015-12-31,2016-03-31
39,2016-03-31,2016-06-30
39,2016-06-30,2016-09-30
39,2016-09-30,2016-12-31
39,2016-12-31,2017-03-31
39,2017-03-31,2017-06-30
39,2017-06-30,2017-09-30
39,2017-09-30,2017-12-31
39,2017-12-31,2018-03-31
39,2018-03-31,2018-06-30
39,2018-06-30,2018-09-30
39,2018-09-30,2018-12-31
39,2018-12-31,2019-03-31
39,2019-03-31,2019-06-30
39,2019-06-30,2019-09-30
39,2019-09-30,2019-12-31
39,2019-12-31,2020-03-31
39,2020-03-31,2020-06-30
39,2020-06-30,2020-09-30
39,2020-09-30,2020-12-31
39,2020-12-31,2021-03-31
39,2021-03-31,2021-06-30
39,2021-06-30,2021-09-30
39,2021-09-30,2021-12-31
39,2021-12-31,2022-03-31
39,2022-03-31,2022-06-30
39,2022-06-30,2022-09-30
39,2022-09-30,2022-12-31
41,2013-06-30,2013-09-30
41,2013-09-30,2013-12-31
41,2013-12-31,2014-03-31
41,2014-03-31,2014-06-30
41,2014-06-30,2014-09-30
41,2014-09-30,2014-12-31
41,2014-12-31,2015-03-31
41,2015-03-31,2015-06-30
41,2015-06-30,2015-09-30
41,2015-09-30,2015-12-31
41,2015-12-31,2016-03-31
41,2016-03-31,2016-06-30
41,2016-06-30,2016-09-30
41,2016-09-30,2016-12-31
41,2016-12-31,2017-03-31
41,2017-03-31,2017-06-30
41,2017-06-30,2017-09-30
41,2017-09-30,2017-12-31
41,2017-12-31,2018-03-31
41,2018-03-31,2018-06-30
41,2018-06-30,2018-09-30
41,2018-09-30,2018-12-31
41,2018-12-31,2019-03-31
41,2019-03-31,2019-06-30
41,2019-06-30,2019-09-30
41,2019-09-30,2019-12-31
41,2019-12-31,2020-03-31
41,2020-03-31,2020-06-30
41,2020-06-30,2020-09-30
41,2020-09-30,2020-12-31
41,2020-12-31,2021-03-31
41,2021-03-31,2021-06-30
41,2021-06-30,2021-09-30
41,2021-09-30,2021-12-31
41,2021-12-31,2022-03-31
41,2022-03-31,2022-06-30
41,2022-06-30,2022-09-30
41,2022-09-30,2022-12-31
46,2013-06-30,2013-09-30
46,2013-09-30,2013-12-31
46,2013-12-31,2014-03-31
46,2014-03-31,2014-06-30
46,2014-06-30,2014-09-30
46,2014-09-30,2014-12-31
46,2014-12-31,2015-03-31
46,2015-03-31,2015-06-30
46,2015-06-30,2015-09-30
46,2015-09-30,2015-12-31
46,2015-12-31,2016-03-31
46,2016-03-31,2016-06-30
46,2016-06-30,2016-09-30
46,2016-09-30,2016-12-31
46,2016-12-31,2017-03-31
46,2017-03-31,2017-06-30
46,2017-06-30,2017-09-30
46,2017-09-30,2017-12-31
46,2017-12-31,2018-03-31
46,2018-03-31,2018-06-30
46,2018-06-30,2018-09-30
46,2018-09-30,2018-12-31
46,2018-12-31,2019-03-31
46,2019-03-31,2019-06-30
