Model,Capacity,Precision,Recall,Lift
MLP,0.05,0.27865407023334593,0.1394260205163265,2.7829143534472203
MLP,0.1,0.2176705377421101,0.2176705377421101,2.173837508494051
MLP,0.2,0.17169272729777488,0.34313473439678294,1.714662892319376
Persistence,0.05,0.14150995484978565,0.07079787109807603,1.413317109905547
Persistence,0.1,0.12616906388670932,0.12616906388670932,1.2600507385702888
Persistence,0.2,0.11075583713588551,0.22134252860269873,1.1061338315743205
Ridge,0.05,0.2491286889400023,0.12463858351974133,2.488150396160445
Ridge,0.1,0.2190322430053551,0.2190322430053551,2.187584497469604
Ridge,0.2,0.19340954144609332,0.38653741645502127,1.9316348640812429
Size-only Ridge,0.05,0.19028096514900147,0.09521142211091911,1.9002680941797958
Size-only Ridge,0.1,0.18817742481693553,0.18817742481693553,1.87931310665443
Size-only Ridge,0.2,0.15763765189385337,0.3150363567592251,1.574351257325649
