CERT,REPDTE,NAME,date,DEPDOM,ASSET,ACTEVT,CALLFORM
26621,20130331,MITSUBISHI UFJ TRUST&BANKING,2013-03-31,269,252096,,31
26621,20130630,MITSUBISHI UFJ TRUST&BANKING,2013-06-30,243,254811,,31
26621,20130930,MITSUBISHI UFJ TRUST&BANKING,2013-09-30,901,314253,,31
26621,20131231,MITSUBISHI UFJ TRUST&BANKING,2013-12-31,289,258381,,31
26621,20140331,MITSUBISHI UFJ TRUST&BANKING,2014-03-31,254,257389,,31
26621,20140630,MITSUBISHI UFJ TRUST&BANKING,2014-06-30,246,271947,,31
26621,20140930,MITSUBISHI UFJ TRUST&BANKING,2014-09-30,432784,752813,,31
26621,20141231,MITSUBISHI UFJ TRUST&BANKING,2014-12-31,63217,287286,,31
26621,20150331,MITSUBISHI UFJ TRUST&BANKING,2015-03-31,74659,303903,,41
26621,20150630,MITSUBISHI UFJ TRUST&BANKING,2015-06-30,17875,250712,,41
26621,20150930,MITSUBISHI UFJ TRUST&BANKING,2015-09-30,25102,241006,,41
26621,20151231,MITSUBISHI UFJ TRUST&BANKING,2015-12-31,30387,251074,,41
26621,20160331,MITSUBISHI UFJ TRUST&BANKING,2016-03-31,4,97218,,41
27389,20130331,WELLS FARGO FINANCIAL NB,2013-03-31,2530,5029382,,41
27389,20130630,WELLS FARGO FINANCIAL NB,2013-06-30,2068,5231256,,41
27389,20130930,WELLS FARGO FINANCIAL NB,2013-09-30,2112,5504203,,41
27389,20131231,WELLS FARGO FINANCIAL NB,2013-12-31,2404,5742869,,41
27389,20140331,WELLS FARGO FINANCIAL NB,2014-03-31,2676,5581066,,41
27389,20140630,WELLS FARGO FINANCIAL NB,2014-06-30,2210,5861263,,41
27389,20140930,WELLS FARGO FINANCIAL NB,2014-09-30,2447,6233265,,41
27389,20141231,WELLS FARGO FINANCIAL NB,2014-12-31,2697,6541389,,41
27389,20150331,WELLS FARGO FINANCIAL NB,2015-03-31,4441,6300750,,41
27389,20150630,WELLS FARGO FINANCIAL NB,2015-06-30,4325,6542789,,41
27389,20150930,WELLS FARGO FINANCIAL NB,2015-09-30,6426608,7394331,,41
27389,20151231,WELLS FARGO FINANCIAL NB,2015-12-31,6848448,7886394,,41
27389,20160331,WELLS FARGO FINANCIAL NB,2016-03-31,7275758,8421644,,41
27389,20160630,WELLS FARGO FINANCIAL NB,2016-06-30,7177163,8389635,,41
27389,20160930,WELLS FARGO FINANCIAL NB,2016-09-30,7593210,8877851,,41
27389,20161231,WELLS FARGO FINANCIAL NB,2016-12-31,8008213,9138137,,41
27389,20170331,WELLS FARGO FINANCIAL NB,2017-03-31,7798655,8980568,,41
27389,20170630,WELLS FARGO FINANCIAL NB,2017-06-30,7043527,8574091,,41
27389,20170930,WELLS FARGO FINANCIAL NB,2017-09-30,6797133,8850937,,41
27389,20171231,WELLS FARGO FINANCIAL NB,2017-12-31,4124586,9289511,,41
27389,20180331,WELLS FARGO FINANCIAL NB,2018-03-31,3870378,9058167,,41
27389,20180630,WELLS FARGO FINANCIAL NB,2018-06-30,3524090,8754914,,41
27389,20180930,WELLS FARGO FINANCIAL NB,2018-09-30,3394715,8691693,,41
27389,20181231,WELLS FARGO FINANCIAL NB,2018-12-31,3561309,9965024,,41
27389,20190331,WELLS FARGO FINANCIAL NB,2019-03-31,5801350,15262346,,41
27389,20190630,WELLS FARGO NB WEST,2019-06-30,5255255,14824007,,41
27389,20190930,WELLS FARGO NB WEST,2019-09-30,5250775,14785012,,41
27389,20191231,WELLS FARGO NB WEST,2019-12-31,6914781,16012936,,41
27389,20200331,WELLS FARGO NB WEST,2020-03-31,15118065,25855421,,31
27389,20200630,WELLS FARGO NB WEST,2020-06-30,15198081,17144719,,31
27389,20200930,WELLS FARGO NB WEST,2020-09-30,16289157,18248037,,31
27389,20201231,WELLS FARGO NB WEST,2020-12-31,20093435,22031369,,31
27389,20210331,WELLS FARGO NB WEST,2021-03-31,17877698,19862617,,31
27389,20210630,WELLS FARGO NB WEST,2021-06-30,17306407,19275160,,31
27389,20210930,WELLS FARGO NB WEST,2021-09-30,16792257,18759413,,31
27389,20211231,WELLS FARGO NB WEST,2021-12-31,16911994,18863981,,31
27389,20220331,WELLS FARGO NB WEST,2022-03-31,16560221,19495686,,31
27389,20220630,WELLS FARGO NB WEST,2022-06-30,15738070,18612068,,31
27389,20220930,WELLS FARGO NB WEST,2022-09-30,14420991,18323473,,31
27389,20221231,WELLS FARGO NB WEST,2022-12-31,13745873,17664869,,31
27389,20230331,WELLS FARGO NB WEST,2023-03-31,12537257,16473328,,31
27389,20230630,WELLS FARGO NB WEST,2023-06-30,13168203,16249698,,31
27389,20230930,WELLS FARGO NB WEST,2023-09-30,12412425,15432574,,31
27389,20231231,WELLS FARGO NB WEST,2023-12-31,12204513,14793562,,31
27389,20240331,WELLS FARGO NB WEST,2024-03-31,11295889,13377569,,31
27389,20240630,WELLS FARGO NB WEST,2024-06-30,10258801,12011686,,31
27389,20240930,WELLS FARGO NB WEST,2024-09-30,8711786,10343572,,31
27389,20241231,WELLS FARGO NB WEST,2024-12-31,8762782,10455423,,31
33497,20130331,NORDSTROM FSB,2013-03-31,83834,286484,,41
33497,20130630,NORDSTROM FSB,2013-06-30,88062,288548,,41
33497,20130930,NORDSTROM FSB,2013-09-30,55255,226324,,41
33497,20131231,NORDSTROM FSB,2013-12-31,59806,246365,,41
33497,20140331,NORDSTROM FSB,2014-03-31,56557,223702,,41
33497,20140630,NORDSTROM FSB,2014-06-30,54166,223872,,41
33497,20140930,NORDSTROM FSB,2014-09-30,51406,233320,,41
33497,20141231,NORDSTROM FSB,2014-12-31,47188,249717,,41
33497,20150331,NORDSTROM FSB,2015-03-31,35537,210192,,41
33497,20150630,NORDSTROM FSB,2015-06-30,115008,292841,,41
33497,20150930,NORDSTROM FSB,2015-09-30,141223,340543,,41
33497,20151231,NORDSTROM FSB,2015-12-31,158782,264771,,41
33497,20160331,NORDSTROM FSB,2016-03-31,126017,254070,,41
33497,20160630,NORDSTROM FSB,2016-06-30,125107,239941,,41
33497,20160930,NORDSTROM FSB,2016-09-30,144674,237296,,41
33497,20161231,NORDSTROM FSB,2016-12-31,159730,311294,,41
33497,20170331,NORDSTROM FSB,2017-03-31,137367,239977,,51
33497,20170630,NORDSTROM FSB,2017-06-30,126009,245557,,51
33497,20170930,NORDSTROM FSB,2017-09-30,109772,258692,,51
33497,20171231,CHARLES SCHWAB SIGNATURE BK,2017-12-31,1150,8378,,51
33497,20180331,CHARLES SCHWAB SIGNATURE BK,2018-03-31,6011577,6518825,,41
33497,20180630,CHARLES SCHWAB SIGNATURE BK,2018-06-30,9085639,9630179,,31
33497,20180930,CHARLES SCHWAB SIGNATURE BK,2018-09-30,12166000,13074000,,31
33497,20181231,CHARLES SCHWAB SIGNATURE BK,2018-12-31,14213000,15233000,,31
33497,20190331,CHARLES SCHWAB PREMIER BANK,2019-03-31,13325000,14428000,,31
33497,20190630,CHARLES SCHWAB PREMIER BANK,2019-06-30,12619000,13784000,,31
33497,20190930,CHARLES SCHWAB PREMIER BANK,2019-09-30,12495000,13527000,,31
33497,20191231,CHARLES SCHWAB PREMIER BANK,2019-12-31,13257000,14289000,,31
33497,20200331,CHARLES SCHWAB PREMIER BK SS,2020-03-31,20559000,22375000,,31
33497,20200630,CHARLES SCHWAB PREMIER BK SS,2020-06-30,23939000,25989000,,31
33497,20200930,CHARLES SCHWAB PREMIER BK SS,2020-09-30,26061000,28309000,,31
33497,20201231,CHARLES SCHWAB PREMIER BK SS,2020-12-31,29176000,31550000,,31
33497,20210331,CHARLES SCHWAB PREMIER BK SS,2021-03-31,30564000,33115000,,31
33497,20210630,CHARLES SCHWAB PREMIER BK SS,2021-06-30,30882000,33582000,,31
33497,20210930,CHARLES SCHWAB PREMIER BK SS,2021-09-30,32891000,35615000,,31
33497,20211231,CHARLES SCHWAB PREMIER BK SS,2021-12-31,36599000,39183000,,31
33497,20220331,CHARLES SCHWAB PREMIER BK SS,2022-03-31,38765000,40705000,,31
33497,20220630,CHARLES SCHWAB PREMIER BK SS,2022-06-30,38089000,39630000,,31
33497,20220930,CHARLES SCHWAB PREMIER BK SS,2022-09-30,32658000,33497000,,31
33497,20221231,CHARLES SCHWAB PREMIER BK SS,2022-12-31,28332000,31498000,,31
33497,20230331,CHARLES SCHWAB PREMIER BK SS,2023-03-31,22813000,32140000,,31
