CERT,NAME,date,target_date,DEPDOM,next_deposits,growth,next_name,next_event,Name changed
33497,CHARLES SCHWAB SIGNATURE BK,2017-12-31,2018-03-31,1150,6011577.0,5226.4582608695655,CHARLES SCHWAB SIGNATURE BK,,False
58303,AMERIPRISE NATIONAL TR BANK,2019-03-31,2019-06-30,500,2205519.0,4410.038,AMERIPRISE BANK FSB,,True
26621,MITSUBISHI UFJ TRUST&BANKING,2014-06-30,2014-09-30,246,432784.0,1758.2845528455284,MITSUBISHI UFJ TRUST&BANKING,,False
27389,WELLS FARGO FINANCIAL NB,2015-06-30,2015-09-30,4325,6426608.0,1484.9209248554914,WELLS FARGO FINANCIAL NB,,False
33785,STIFEL TRUST CO NA,2019-03-31,2019-06-30,501,319342.0,636.4091816367265,STIFEL TRUST CO NA,,False
59108,CHARLES SCHWAB TRUST BANK,2018-12-31,2019-03-31,1011,559121.0,552.0375865479723,CHARLES SCHWAB TRUST BANK,,False
21761,JPMORGAN CHASE BANK DEARBORN,2017-09-30,2017-12-31,17,515.0,29.294117647058822,JPMORGAN CHASE BANK DEARBORN,,False
25803,RANCHO SANTA FE TH&L ASSN,2015-03-31,2015-06-30,763,9135.0,10.972477064220184,RANCHO SANTA FE TH&L ASSN,,False
21761,JPMORGAN CHASE BANK DEARBORN,2015-12-31,2016-03-31,515,5517.0,9.7126213592233,JPMORGAN CHASE BANK DEARBORN,,False
25620,CREDIT ONE BANK NA,2017-06-30,2017-09-30,998,9715.0,8.734468937875752,CREDIT ONE BANK NA,,False
59108,CHARLES SCHWAB TRUST BANK,2019-06-30,2019-09-30,563834,5258794.0,8.326847972984957,CHARLES SCHWAB TRUST BANK,,False
34313,EAGLEMARK SAVINGS BANK,2020-03-31,2020-06-30,2501,20738.0,7.291883246701319,EAGLEMARK SAVINGS BANK,,False
