Quarter,Model,Banks,Selected,Hits,Precision,Random expectation,Expected random hits,Lift
2024-03-31,Persistence,4536,454,58,0.1277533039647577,0.10008818342151675,45.44003527336861,1.2764074598769626
2024-03-31,Size-only Ridge,4536,454,77,0.1696035242290749,0.10008818342151675,45.44003527336861,1.6945409381125194
2024-03-31,Ridge,4536,454,112,0.24669603524229075,0.10008818342151675,45.44003527336861,2.464786819072755
2024-03-31,MLP,4536,454,109,0.24008810572687225,0.10008818342151675,45.44003527336861,2.398765743561878
2024-06-30,Persistence,4515,452,62,0.13716814159292035,0.10011074197120709,45.250055370985606,1.3701640692301666
2024-06-30,Size-only Ridge,4515,452,102,0.22566371681415928,0.10011074197120709,45.250055370985606,2.254140888088339
2024-06-30,Ridge,4515,452,110,0.24336283185840707,0.10011074197120709,45.250055370985606,2.4309362518599733
2024-06-30,MLP,4515,452,90,0.19911504424778761,0.10011074197120709,45.250055370985606,1.9889478424308873
2024-09-30,Persistence,4481,449,51,0.11358574610244988,0.10020084802499442,44.9901807632225,1.133580686603737
2024-09-30,Size-only Ridge,4481,449,76,0.16926503340757237,0.10020084802499442,44.9901807632225,1.6892574937624316
2024-09-30,Ridge,4481,449,75,0.16703786191536749,0.10020084802499442,44.9901807632225,1.667030421476084
2024-09-30,MLP,4481,449,96,0.21380846325167038,0.10020084802499442,44.9901807632225,2.1337989394893877
