History quarters,Model,Rows,MAE (pp),RMSE (pp)
2–3,Zero growth,6,52.28644853291541,66.47632472976309
2–3,Persistence,6,123.47789885389555,179.19739208257684
2–3,Ridge,6,49.10108778614679,62.29567073089805
2–3,MLP,6,21.850833995666356,33.07790281125068
2–3,Training median,6,51.61732268578493,65.73105146365975
2–3,Seasonal median,6,51.81289902998129,65.8650773181344
2–3,Size-only Ridge,6,51.51556941561077,65.67144261645963
2–3,TimesFM zero-shot,6,5769.714825795079,13977.035988125514
2–3,Chronos zero-shot,6,77.71116925775875,90.3745169648214
2–3,TimesFM head adapted,6,5804.259898067311,14062.41309675105
2–3,Chronos head adapted,6,72.30197470017491,94.1099632769263
4–7,Zero growth,24,31.79805294749779,39.32580816661067
4–7,Persistence,24,26.318616524793438,33.05024235530318
4–7,Ridge,24,29.399119363743676,37.274025825006284
4–7,MLP,24,25.66490023998335,31.735126910311124
4–7,Training median,24,30.87800490769338,38.588150547764926
4–7,Seasonal median,24,31.150734790178163,38.73697324872222
4–7,Size-only Ridge,24,30.49077114741517,38.322771332495606
4–7,TimesFM zero-shot,24,73.76122858628763,231.21141777720194
4–7,Chronos zero-shot,24,33.327953401864214,44.398719683201406
4–7,TimesFM head adapted,24,72.86088050368646,230.04587614626305
4–7,Chronos head adapted,24,35.00578710932189,48.70791488052625
8–15,Zero growth,72,11.211924202712236,14.883741518572984
8–15,Persistence,72,12.943930905215536,18.35655831538637
8–15,Ridge,72,9.680235775337984,13.424683902376108
8–15,MLP,72,10.218763990806092,14.262427230192209
8–15,Training median,72,10.578701696944675,14.27626564462003
8–15,Seasonal median,72,10.704388632614567,14.447761164477638
8–15,Size-only Ridge,72,10.2327002894858,13.969013897279728
8–15,TimesFM zero-shot,72,10.898457395910869,14.935220367560992
8–15,Chronos zero-shot,72,12.423440859896697,15.75224438495162
8–15,TimesFM head adapted,72,10.919699703726485,15.109844608582442
8–15,Chronos head adapted,72,19.59060398076997,25.210987122833146
16–31,Zero growth,87,5.5577810163029495,7.183744705018031
16–31,Persistence,87,7.1784171465393465,9.427765519369794
16–31,Ridge,87,4.863527464604808,6.629925887335052
16–31,MLP,87,4.959317649968937,6.737746939096459
16–31,Training median,87,5.199774234443491,6.853160688747276
16–31,Seasonal median,87,5.2490519068348,6.842784090195023
16–31,Size-only Ridge,87,5.0061162250064575,6.696898300042793
16–31,TimesFM zero-shot,87,5.413367700340845,7.083076754970671
16–31,Chronos zero-shot,87,8.883547947060725,12.643674088552148
16–31,TimesFM head adapted,87,6.004330846651378,7.633386497946493
16–31,Chronos head adapted,87,10.377339929257568,14.617084555929715
32+,Zero growth,13343,3.4746260993111697,6.282736052063459
32+,Persistence,13343,4.962940264130516,8.477931384437282
32+,Ridge,13343,3.5337040917426226,6.124228972903755
32+,MLP,13343,3.535231404051622,6.182512814328699
32+,Training median,13343,3.4134803348636202,6.143453802414028
32+,Seasonal median,13343,3.3785800063991194,6.137121508780121
32+,Size-only Ridge,13343,3.539516234971587,6.147586967913781
32+,TimesFM zero-shot,13343,3.4374901488045997,6.174180862720402
32+,Chronos zero-shot,13343,3.750137371651214,6.582405355861484
32+,TimesFM head adapted,13343,3.3883045621762573,6.1298998590584235
32+,Chronos head adapted,13343,3.7874602174812715,6.536521970602211
