Repeat,Metric,Comparison,Difference
0,Precision difference (pp),Ridge minus Size-only Ridge,5.674008640564374
0,Precision difference (pp),MLP minus Ridge,-0.26301133599557214
0,MAE difference (pp),MLP minus Zero growth,0.039913594716268985
0,MAE difference (pp),MLP minus Ridge,-0.0007769759737734638
0,MAE difference (pp),Seasonal median minus Zero growth,-0.10580546264547719
1,Precision difference (pp),Ridge minus Size-only Ridge,2.9235501658800427
1,Precision difference (pp),MLP minus Ridge,0.09657525694688474
1,MAE difference (pp),MLP minus Zero growth,0.04031111995919501
1,MAE difference (pp),MLP minus Ridge,-0.0052174554643755755
1,MAE difference (pp),Seasonal median minus Zero growth,-0.10194783297988375
2,Precision difference (pp),Ridge minus Size-only Ridge,4.1144707872965345
2,Precision difference (pp),MLP minus Ridge,-0.20694831779475842
2,MAE difference (pp),MLP minus Zero growth,0.012973991547125419
2,MAE difference (pp),MLP minus Ridge,-0.016785094291389413
2,MAE difference (pp),Seasonal median minus Zero growth,-0.09980239004990077
3,Precision difference (pp),Ridge minus Size-only Ridge,2.0963669105217853
3,Precision difference (pp),MLP minus Ridge,0.59437827716039
3,MAE difference (pp),MLP minus Zero growth,0.006677280450141154
3,MAE difference (pp),MLP minus Ridge,-0.016500564094811487
3,MAE difference (pp),Seasonal median minus Zero growth,-0.10682300484158036
4,Precision difference (pp),Ridge minus Size-only Ridge,2.7097791537799094
4,Precision difference (pp),MLP minus Ridge,-0.09424466898107775
4,MAE difference (pp),MLP minus Zero growth,0.02007379695300404
4,MAE difference (pp),MLP minus Ridge,-0.016045824269982134
4,MAE difference (pp),Seasonal median minus Zero growth,-0.10429531147358562
5,Precision difference (pp),Ridge minus Size-only Ridge,2.4159805998857475
5,Precision difference (pp),MLP minus Ridge,-0.9597099545179649
5,MAE difference (pp),MLP minus Zero growth,0.05884462477004204
5,MAE difference (pp),MLP minus Ridge,0.020865808901909144
5,MAE difference (pp),Seasonal median minus Zero growth,-0.09565551407254214
6,Precision difference (pp),Ridge minus Size-only Ridge,5.083835610750062
6,Precision difference (pp),MLP minus Ridge,-0.09618731287922844
6,MAE difference (pp),MLP minus Zero growth,0.037675882149617035
6,MAE difference (pp),MLP minus Ridge,-0.011837488560832998
6,MAE difference (pp),Seasonal median minus Zero growth,-0.09312850663235972
7,Precision difference (pp),Ridge minus Size-only Ridge,3.3445706151995576
7,Precision difference (pp),MLP minus Ridge,-1.3208111391014798
7,MAE difference (pp),MLP minus Zero growth,0.028284979291798074
7,MAE difference (pp),MLP minus Ridge,-0.028606947963646157
7,MAE difference (pp),Seasonal median minus Zero growth,-0.1002914694857524
8,Precision difference (pp),Ridge minus Size-only Ridge,1.443622137087583
8,Precision difference (pp),MLP minus Ridge,1.746602710837608
8,MAE difference (pp),MLP minus Zero growth,0.04509532565494068
8,MAE difference (pp),MLP minus Ridge,-0.008408451059325639
8,MAE difference (pp),Seasonal median minus Zero growth,-0.09577228733001952
9,Precision difference (pp),Ridge minus Size-only Ridge,2.949071270830844
9,Precision difference (pp),MLP minus Ridge,-0.2597024921973001
9,MAE difference (pp),MLP minus Zero growth,0.04091862446070271
9,MAE difference (pp),MLP minus Ridge,-0.009131773044822822
9,MAE difference (pp),Seasonal median minus Zero growth,-0.0892399281070193
10,Precision difference (pp),Ridge minus Size-only Ridge,2.217763714189963
10,Precision difference (pp),MLP minus Ridge,-0.5112873355971326
10,MAE difference (pp),MLP minus Zero growth,0.04975788470268405
10,MAE difference (pp),MLP minus Ridge,0.001538351719347908
10,MAE difference (pp),Seasonal median minus Zero growth,-0.08859337556616431
11,Precision difference (pp),Ridge minus Size-only Ridge,3.5871910865115266
11,Precision difference (pp),MLP minus Ridge,-0.1336899141463621
11,MAE difference (pp),MLP minus Zero growth,-0.0027369613215522115
11,MAE difference (pp),MLP minus Ridge,-0.04510328534025865
11,MAE difference (pp),Seasonal median minus Zero growth,-0.09997057916049235
12,Precision difference (pp),Ridge minus Size-only Ridge,2.035468325554321
12,Precision difference (pp),MLP minus Ridge,-0.832317712760855
12,MAE difference (pp),MLP minus Zero growth,0.026335279100540898
12,MAE difference (pp),MLP minus Ridge,-0.02194616934041349
12,MAE difference (pp),Seasonal median minus Zero growth,-0.09612930610909354
13,Precision difference (pp),Ridge minus Size-only Ridge,1.0805429828574158
13,Precision difference (pp),MLP minus Ridge,1.3085299599488898
13,MAE difference (pp),MLP minus Zero growth,0.04689662893829594
13,MAE difference (pp),MLP minus Ridge,0.0060142340415332285
13,MAE difference (pp),Seasonal median minus Zero growth,-0.09737422637536763
14,Precision difference (pp),Ridge minus Size-only Ridge,1.1919291157078766
14,Precision difference (pp),MLP minus Ridge,2.0244795678030196
14,MAE difference (pp),MLP minus Zero growth,0.03430120710323736
14,MAE difference (pp),MLP minus Ridge,0.010450472579122128
14,MAE difference (pp),Seasonal median minus Zero growth,-0.10209921915002207
15,Precision difference (pp),Ridge minus Size-only Ridge,3.4297895460375925
15,Precision difference (pp),MLP minus Ridge,0.7852911718877476
15,MAE difference (pp),MLP minus Zero growth,0.012794030388517008
15,MAE difference (pp),MLP minus Ridge,-0.01986024035800371
15,MAE difference (pp),Seasonal median minus Zero growth,-0.1000822683122875
16,Precision difference (pp),Ridge minus Size-only Ridge,5.050808412682548
16,Precision difference (pp),MLP minus Ridge,-1.1189764321539593
