Quarter,Model,Rows,MAE (pp),RMSE (pp)
2024-03-31,Zero growth,4536,3.276499558233566,6.745191595670164
2024-03-31,Persistence,4536,5.066104227039469,10.461023688886952
2024-03-31,Ridge,4536,4.1260871762560996,6.9978696136994545
2024-03-31,MLP,4536,4.257603255267135,7.047052166158001
2024-06-30,Zero growth,4515,3.5526598152448816,6.094265128386556
2024-06-30,Persistence,4515,4.890222810017226,8.896806091807136
2024-06-30,Ridge,4515,3.6849154864878395,5.840617377590235
2024-06-30,MLP,4515,3.899169833085802,6.002271713823937
2024-09-30,Zero growth,4481,3.978382600777041,7.267811893122654
2024-09-30,Persistence,4481,5.376100577964188,8.915129066047218
2024-09-30,Ridge,4481,4.019704030755059,6.948851396088565
2024-09-30,MLP,4481,4.263735853061778,7.059709327799345
