Quarter,Model,Banks,Selected,Hits,Precision,Ranking status,Recall,Spearman,Random expectation
2024-03-31,Zero growth,4536,454,,,All predictions tied; no ranking signal,,,0.10008818342151675
2024-03-31,Persistence,4536,454,58.0,0.1277533039647577,Forecast ordering,0.1277533039647577,-0.026762461007354504,0.10008818342151675
2024-03-31,Ridge,4536,454,112.0,0.24669603524229075,Forecast ordering,0.24669603524229075,0.20951195155004104,0.10008818342151675
2024-03-31,MLP,4536,454,109.0,0.24008810572687225,Forecast ordering,0.24008810572687225,0.20954910589898096,0.10008818342151675
2024-06-30,Zero growth,4515,452,,,All predictions tied; no ranking signal,,,0.10011074197120709
2024-06-30,Persistence,4515,452,62.0,0.13716814159292035,Forecast ordering,0.13716814159292035,0.023143519396626604,0.10011074197120709
2024-06-30,Ridge,4515,452,110.0,0.24336283185840707,Forecast ordering,0.24336283185840707,0.25263562322520233,0.10011074197120709
2024-06-30,MLP,4515,452,90.0,0.19911504424778761,Forecast ordering,0.19911504424778761,0.2128100872947851,0.10011074197120709
2024-09-30,Zero growth,4481,449,,,All predictions tied; no ranking signal,,,0.10020084802499442
2024-09-30,Persistence,4481,449,51.0,0.11358574610244988,Forecast ordering,0.11358574610244988,-0.09035310454575152,0.10020084802499442
2024-09-30,Ridge,4481,449,75.0,0.16703786191536749,Forecast ordering,0.16703786191536749,0.029424579744138615,0.10020084802499442
2024-09-30,MLP,4481,449,96.0,0.21380846325167038,Forecast ordering,0.21380846325167038,0.06570783595301306,0.10020084802499442
