CERT,Quarter,Model,Selected,Hit
14,2024-03-31,Persistence,0,0
35,2024-03-31,Persistence,0,0
39,2024-03-31,Persistence,0,0
41,2024-03-31,Persistence,0,0
49,2024-03-31,Persistence,0,0
50,2024-03-31,Persistence,0,0
51,2024-03-31,Persistence,0,0
52,2024-03-31,Persistence,0,0
54,2024-03-31,Persistence,0,0
58,2024-03-31,Persistence,0,0
70,2024-03-31,Persistence,0,0
72,2024-03-31,Persistence,0,0
77,2024-03-31,Persistence,0,0
81,2024-03-31,Persistence,0,0
88,2024-03-31,Persistence,0,0
89,2024-03-31,Persistence,0,0
90,2024-03-31,Persistence,0,0
93,2024-03-31,Persistence,0,0
99,2024-03-31,Persistence,0,0
105,2024-03-31,Persistence,0,0
107,2024-03-31,Persistence,1,0
109,2024-03-31,Persistence,0,0
110,2024-03-31,Persistence,0,0
131,2024-03-31,Persistence,0,0
147,2024-03-31,Persistence,0,0
148,2024-03-31,Persistence,0,0
149,2024-03-31,Persistence,1,0
155,2024-03-31,Persistence,1,0
160,2024-03-31,Persistence,0,0
169,2024-03-31,Persistence,0,0
170,2024-03-31,Persistence,0,0
172,2024-03-31,Persistence,1,0
175,2024-03-31,Persistence,0,0
178,2024-03-31,Persistence,0,0
183,2024-03-31,Persistence,0,0
197,2024-03-31,Persistence,0,0
210,2024-03-31,Persistence,0,0
214,2024-03-31,Persistence,0,0
226,2024-03-31,Persistence,0,0
228,2024-03-31,Persistence,0,0
230,2024-03-31,Persistence,0,0
231,2024-03-31,Persistence,0,0
232,2024-03-31,Persistence,0,0
234,2024-03-31,Persistence,0,0
235,2024-03-31,Persistence,0,0
245,2024-03-31,Persistence,0,0
248,2024-03-31,Persistence,0,0
251,2024-03-31,Persistence,0,0
252,2024-03-31,Persistence,0,0
253,2024-03-31,Persistence,0,0
254,2024-03-31,Persistence,0,0
258,2024-03-31,Persistence,0,0
262,2024-03-31,Persistence,0,0
267,2024-03-31,Persistence,0,0
275,2024-03-31,Persistence,0,0
281,2024-03-31,Persistence,0,0
284,2024-03-31,Persistence,0,0
287,2024-03-31,Persistence,0,0
288,2024-03-31,Persistence,1,0
289,2024-03-31,Persistence,0,0
291,2024-03-31,Persistence,0,0
292,2024-03-31,Persistence,0,0
296,2024-03-31,Persistence,0,0
297,2024-03-31,Persistence,0,0
303,2024-03-31,Persistence,0,0
304,2024-03-31,Persistence,1,0
306,2024-03-31,Persistence,0,0
307,2024-03-31,Persistence,0,0
314,2024-03-31,Persistence,1,0
321,2024-03-31,Persistence,1,0
324,2024-03-31,Persistence,0,0
327,2024-03-31,Persistence,1,0
340,2024-03-31,Persistence,0,0
342,2024-03-31,Persistence,0,0
352,2024-03-31,Persistence,0,0
358,2024-03-31,Persistence,1,0
363,2024-03-31,Persistence,0,0
384,2024-03-31,Persistence,0,0
389,2024-03-31,Persistence,0,0
399,2024-03-31,Persistence,0,0
402,2024-03-31,Persistence,0,0
404,2024-03-31,Persistence,0,0
406,2024-03-31,Persistence,0,0
414,2024-03-31,Persistence,0,0
418,2024-03-31,Persistence,0,0
420,2024-03-31,Persistence,0,0
421,2024-03-31,Persistence,0,0
428,2024-03-31,Persistence,0,0
432,2024-03-31,Persistence,0,0
444,2024-03-31,Persistence,0,0
445,2024-03-31,Persistence,0,0
485,2024-03-31,Persistence,0,0
492,2024-03-31,Persistence,0,0
496,2024-03-31,Persistence,0,0
501,2024-03-31,Persistence,1,0
505,2024-03-31,Persistence,1,0
526,2024-03-31,Persistence,1,0
529,2024-03-31,Persistence,0,0
588,2024-03-31,Persistence,0,0
597,2024-03-31,Persistence,0,0
609,2024-03-31,Persistence,0,0
618,2024-03-31,Persistence,0,0
622,2024-03-31,Persistence,0,0
623,2024-03-31,Persistence,0,0
628,2024-03-31,Persistence,0,0
639,2024-03-31,Persistence,0,0
659,2024-03-31,Persistence,0,0
660,2024-03-31,Persistence,0,0
686,2024-03-31,Persistence,0,0
698,2024-03-31,Persistence,0,0
713,2024-03-31,Persistence,0,0
737,2024-03-31,Persistence,0,0
763,2024-03-31,Persistence,0,0
769,2024-03-31,Persistence,0,0
803,2024-03-31,Persistence,0,0
823,2024-03-31,Persistence,0,0
845,2024-03-31,Persistence,0,0
847,2024-03-31,Persistence,0,0
855,2024-03-31,Persistence,0,0
861,2024-03-31,Persistence,0,0
872,2024-03-31,Persistence,0,0
873,2024-03-31,Persistence,0,0
876,2024-03-31,Persistence,0,0
877,2024-03-31,Persistence,0,0
879,2024-03-31,Persistence,0,0
889,2024-03-31,Persistence,0,0
893,2024-03-31,Persistence,0,0
898,2024-03-31,Persistence,0,0
899,2024-03-31,Persistence,0,0
902,2024-03-31,Persistence,0,0
903,2024-03-31,Persistence,1,0
913,2024-03-31,Persistence,0,0
925,2024-03-31,Persistence,0,0
926,2024-03-31,Persistence,0,0
931,2024-03-31,Persistence,0,0
950,2024-03-31,Persistence,0,0
951,2024-03-31,Persistence,0,0
953,2024-03-31,Persistence,0,0
954,2024-03-31,Persistence,0,0
955,2024-03-31,Persistence,0,0
956,2024-03-31,Persistence,0,0
958,2024-03-31,Persistence,0,0
963,2024-03-31,Persistence,0,0
966,2024-03-31,Persistence,1,0
968,2024-03-31,Persistence,0,0
969,2024-03-31,Persistence,0,0
976,2024-03-31,Persistence,0,0
977,2024-03-31,Persistence,0,0
982,2024-03-31,Persistence,1,0
983,2024-03-31,Persistence,1,0
999,2024-03-31,Persistence,0,0
1005,2024-03-31,Persistence,0,0
1008,2024-03-31,Persistence,0,0
1014,2024-03-31,Persistence,0,0
1022,2024-03-31,Persistence,0,0
1027,2024-03-31,Persistence,0,0
1028,2024-03-31,Persistence,0,0
1040,2024-03-31,Persistence,0,0
1047,2024-03-31,Persistence,0,0
1049,2024-03-31,Persistence,0,0
1058,2024-03-31,Persistence,0,0
1060,2024-03-31,Persistence,1,0
1068,2024-03-31,Persistence,1,1
1073,2024-03-31,Persistence,0,0
1086,2024-03-31,Persistence,0,0
1090,2024-03-31,Persistence,0,0
1092,2024-03-31,Persistence,0,0
1095,2024-03-31,Persistence,0,0
1098,2024-03-31,Persistence,0,0
1100,2024-03-31,Persistence,0,0
1105,2024-03-31,Persistence,0,0
1117,2024-03-31,Persistence,0,0
1118,2024-03-31,Persistence,0,0
1122,2024-03-31,Persistence,0,0
1125,2024-03-31,Persistence,0,0
1141,2024-03-31,Persistence,0,0
1147,2024-03-31,Persistence,0,0
1150,2024-03-31,Persistence,1,1
1163,2024-03-31,Persistence,0,0
1164,2024-03-31,Persistence,0,0
1165,2024-03-31,Persistence,0,0
1167,2024-03-31,Persistence,0,0
1169,2024-03-31,Persistence,1,0
1184,2024-03-31,Persistence,0,0
1198,2024-03-31,Persistence,0,0
1208,2024-03-31,Persistence,0,0
1209,2024-03-31,Persistence,0,0
1210,2024-03-31,Persistence,0,0
1213,2024-03-31,Persistence,0,0
1218,2024-03-31,Persistence,0,0
1219,2024-03-31,Persistence,0,0
1225,2024-03-31,Persistence,0,0
1237,2024-03-31,Persistence,0,0
1265,2024-03-31,Persistence,0,0
1281,2024-03-31,Persistence,0,0
1291,2024-03-31,Persistence,0,0
1294,2024-03-31,Persistence,0,0
1296,2024-03-31,Persistence,0,0
1299,2024-03-31,Persistence,0,0
1331,2024-03-31,Persistence,0,0
1365,2024-03-31,Persistence,0,0
1373,2024-03-31,Persistence,0,0
1374,2024-03-31,Persistence,0,0
1376,2024-03-31,Persistence,1,0
1380,2024-03-31,Persistence,0,0
1386,2024-03-31,Persistence,1,0
1391,2024-03-31,Persistence,0,0
1399,2024-03-31,Persistence,0,0
1402,2024-03-31,Persistence,1,0
1409,2024-03-31,Persistence,0,0
1413,2024-03-31,Persistence,0,0
1415,2024-03-31,Persistence,0,0
