Slice,Model,Rows,MAE,MSE,MAE (pp),RMSE (pp)
All,Zero growth,13532,0.03601063663616614,0.004513419043714376,3.601063663616614,6.718198451753548
All,Persistence,13532,0.05110073267139842,0.008941120542522054,5.110073267139842,9.455749860546256
All,Ridge,13532,0.0364103628087596,0.004240866840737884,3.6410362808759604,6.5121938244633695
All,MLP,13532,0.036273179778953384,0.0041335130451346765,3.627317977895338,6.429240270152202
Realized bottom 25%,Zero growth,3384,0.03809550806767762,0.002458897613098964,3.809550806767762,4.958727269268763
Realized bottom 25%,Persistence,3384,0.06251365463910678,0.009146340620625068,6.251365463910679,9.563650255328803
Realized bottom 25%,Ridge,3384,0.05327767429112547,0.0038091409832395158,5.327767429112547,6.171823865956898
Realized bottom 25%,MLP,3384,0.04723765541052245,0.003239846984323822,4.723765541052245,5.691965376145415
Realized bottom 10%,Zero growth,1355,0.06266150785217721,0.005341424210524779,6.266150785217721,7.308504779039813
Realized bottom 10%,Persistence,1355,0.09366060002065503,0.01749683135459806,9.366060002065502,13.227558865715949
Realized bottom 10%,Ridge,1355,0.0761386743505838,0.007160451079758236,7.61386743505838,8.461944859048796
Realized bottom 10%,MLP,1355,0.06781249225575829,0.006027137886641996,6.781249225575829,7.763464359834465
