Quarter,Asset group,Call form,Field,Rows,API populated,Zero values,Coverage,Zero share
20100331,At least USD 1bn,2,DEPUNA,9,9,4,1.0,0.4444444444444444
20100331,At least USD 1bn,31,DEPUNA,88,88,1,1.0,0.011363636363636364
20100331,At least USD 1bn,41,DEPUNA,490,490,25,1.0,0.05102040816326531
20100331,At least USD 1bn,100,DEPUNA,105,105,0,1.0,0.0
20100331,Below USD 1bn,2,DEPUNA,8,8,8,1.0,1.0
20100331,Below USD 1bn,31,DEPUNA,26,26,21,1.0,0.8076923076923077
20100331,Below USD 1bn,41,DEPUNA,6646,6646,6617,1.0,0.9956364730665062
20100331,Below USD 1bn,100,DEPUNA,652,319,46,0.4892638036809816,0.0705521472392638
20100630,At least USD 1bn,2,DEPUNA,10,10,5,1.0,0.5
20100630,At least USD 1bn,31,DEPUNA,89,89,1,1.0,0.011235955056179775
20100630,At least USD 1bn,41,DEPUNA,471,471,24,1.0,0.050955414012738856
20100630,At least USD 1bn,100,DEPUNA,103,103,0,1.0,0.0
20100630,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20100630,Below USD 1bn,31,DEPUNA,24,24,21,1.0,0.875
20100630,Below USD 1bn,41,DEPUNA,6568,6568,6538,1.0,0.9954323995127893
20100630,Below USD 1bn,100,DEPUNA,650,304,44,0.4676923076923077,0.06769230769230769
20100930,At least USD 1bn,2,DEPUNA,11,11,6,1.0,0.5454545454545454
20100930,At least USD 1bn,31,DEPUNA,88,88,1,1.0,0.011363636363636364
20100930,At least USD 1bn,41,DEPUNA,475,475,23,1.0,0.04842105263157895
20100930,At least USD 1bn,100,DEPUNA,105,105,0,1.0,0.0
20100930,Below USD 1bn,2,DEPUNA,6,6,6,1.0,1.0
20100930,Below USD 1bn,31,DEPUNA,24,24,21,1.0,0.875
20100930,Below USD 1bn,41,DEPUNA,6507,6507,6479,1.0,0.9956969417550331
20100930,Below USD 1bn,100,DEPUNA,636,295,43,0.4638364779874214,0.06761006289308176
20101231,At least USD 1bn,2,DEPUNA,11,11,6,1.0,0.5454545454545454
20101231,At least USD 1bn,31,DEPUNA,90,90,1,1.0,0.011111111111111112
20101231,At least USD 1bn,41,DEPUNA,475,475,25,1.0,0.05263157894736842
20101231,At least USD 1bn,100,DEPUNA,104,104,0,1.0,0.0
20101231,Below USD 1bn,2,DEPUNA,6,6,6,1.0,1.0
20101231,Below USD 1bn,31,DEPUNA,23,23,20,1.0,0.8695652173913043
20101231,Below USD 1bn,41,DEPUNA,6411,6411,6380,1.0,0.9951645609109343
20101231,Below USD 1bn,100,DEPUNA,627,284,41,0.4529505582137161,0.06539074960127592
20110331,At least USD 1bn,2,DEPUNA,10,10,4,1.0,0.4
20110331,At least USD 1bn,31,DEPUNA,88,88,1,1.0,0.011363636363636364
20110331,At least USD 1bn,41,DEPUNA,485,485,22,1.0,0.04536082474226804
20110331,At least USD 1bn,100,DEPUNA,100,100,0,1.0,0.0
20110331,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20110331,Below USD 1bn,31,DEPUNA,21,21,20,1.0,0.9523809523809523
20110331,Below USD 1bn,41,DEPUNA,6328,6328,6296,1.0,0.9949431099873578
20110331,Below USD 1bn,100,DEPUNA,624,278,44,0.44551282051282054,0.07051282051282051
20110630,At least USD 1bn,2,DEPUNA,10,10,4,1.0,0.4
20110630,At least USD 1bn,31,DEPUNA,89,89,1,1.0,0.011235955056179775
20110630,At least USD 1bn,41,DEPUNA,482,482,27,1.0,0.056016597510373446
