Quarter,Asset group,Field,Rows,API populated,Zero values,Date,Coverage,Zero share,Missing,Zero,Nonzero
20100331,At least USD 1bn,DEPUNA,692,692,30,2010-03-31,1.0,0.04335260115606936,0,30,662
20100331,At least USD 1bn,DEPUNINS,692,692,10,2010-03-31,1.0,0.014450867052023121,0,10,682
20100331,Below USD 1bn,DEPUNA,7332,6999,6692,2010-03-31,0.954582651391162,0.9561365909415631,333,6692,307
20100331,Below USD 1bn,DEPUNINS,7332,7332,170,2010-03-31,1.0,0.0231860338243317,0,170,7162
20100630,At least USD 1bn,DEPUNA,673,673,30,2010-06-30,1.0,0.04457652303120357,0,30,643
20100630,At least USD 1bn,DEPUNINS,673,673,10,2010-06-30,1.0,0.014858841010401188,0,10,663
20100630,Below USD 1bn,DEPUNA,7249,6903,6610,2010-06-30,0.9522692785211754,0.9575546863682457,346,6610,293
20100630,Below USD 1bn,DEPUNINS,7249,7249,172,2010-06-30,1.0,0.023727410677334804,0,172,7077
20100930,At least USD 1bn,DEPUNA,679,679,30,2010-09-30,1.0,0.044182621502209134,0,30,649
20100930,At least USD 1bn,DEPUNINS,679,679,11,2010-09-30,1.0,0.016200294550810016,0,11,668
20100930,Below USD 1bn,DEPUNA,7173,6832,6549,2010-09-30,0.9524606161996375,0.9585772833723654,341,6549,283
20100930,Below USD 1bn,DEPUNINS,7173,7173,162,2010-09-30,1.0,0.02258469259723965,0,162,7011
20101231,At least USD 1bn,DEPUNA,680,680,32,2010-12-31,1.0,0.047058823529411764,0,32,648
20101231,At least USD 1bn,DEPUNINS,680,680,10,2010-12-31,1.0,0.014705882352941176,0,10,670
20101231,Below USD 1bn,DEPUNA,7067,6724,6447,2010-12-31,0.9514645535587944,0.9588042831647828,343,6447,277
20101231,Below USD 1bn,DEPUNINS,7067,7067,195,2010-12-31,1.0,0.027593038064242254,0,195,6872
20110331,At least USD 1bn,DEPUNA,683,683,27,2011-03-31,1.0,0.03953147877013177,0,27,656
