FAILDATE,CERT,RESTYPE,NAME,ID
7/17/2026,25744.0,FAILURE,SMALL BUSINESS BANK,4117
7/10/2026,28722.0,FAILURE,KENTLAND FS&LA,4116
5/1/2026,25796.0,FAILURE,COMMUNITY BANK AND TRUST - WEST GEORGIA,4115
1/30/2026,57488.0,FAILURE,METROPOLITAN CAPITAL B&T,4114
6/27/2025,5520.0,FAILURE,SANTA ANNA NATIONAL BANK,4113
1/17/2025,28611.0,FAILURE,PULASKI SAVINGS BANK,4112
10/18/2024,4134.0,FAILURE,FIRST NB OF LINDSAY,4111
4/26/2024,27332.0,FAILURE,REPUBLIC BANK,4110
11/3/2023,8758.0,FAILURE,CITIZENS BANK,4109
7/28/2023,25851.0,FAILURE,HEARTLAND TRI-STATE BANK,4108
5/1/2023,59017.0,FAILURE,FIRST REPUBLIC BANK,4107
3/12/2023,57053.0,FAILURE,SIGNATURE BANK,4106
3/10/2023,24735.0,FAILURE,SILICON VALLEY BANK,4105
10/23/2020,15426.0,FAILURE,ALMENA STATE BANK,4104
10/16/2020,16748.0,FAILURE,FIRST CITY BANK OF FLORIDA,4103
4/3/2020,14361.0,FAILURE,THE FIRST STATE BANK,4102
2/14/2020,18265.0,FAILURE,ERICSON STATE BANK,4101
11/1/2019,21111.0,FAILURE,CITY NATIONAL BANK OF NEW JERSEY,4100
10/25/2019,58112.0,FAILURE,LOUISA COMMUNITY BANK,4098
10/25/2019,58317.0,FAILURE,RESOLUTE BANK,4099
5/31/2019,10716.0,FAILURE,ENLOE STATE BANK,4097
12/15/2017,30570.0,FAILURE,WASHINGTON FEDERAL BANK FOR SAVINGS,4096
10/13/2017,17719.0,FAILURE,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,4095
5/26/2017,1802.0,FAILURE,FAYETTE COUNTY BANK,4094
5/5/2017,30003.0,FAILURE,GUARANTY BANK,4093
4/28/2017,58302.0,FAILURE,FIRST NBC BANK,4092
3/3/2017,35495.0,FAILURE,PROFICIO BANK,4091
1/27/2017,19328.0,FAILURE,SEAWAY BANK AND TRUST COMPANY,4090
1/13/2017,34951.0,FAILURE,HARVEST COMMUNITY BANK,4089
9/23/2016,91.0,FAILURE,ALLIED BANK,4088
8/19/2016,11297.0,FAILURE,THE WOODBURY BANKING COMPANY,4087
5/6/2016,35312.0,FAILURE,FIRST CORNERSTONE BANK,4086
4/29/2016,9956.0,FAILURE,TRUST COMPANY BANK,4085
3/11/2016,20364.0,FAILURE,NORTH MILWAUKEE STATE BANK,4084
10/2/2015,35156.0,FAILURE,HOMETOWN NATIONAL BANK,4082
10/2/2015,35259.0,FAILURE,THE BANK OF GEORGIA,4083
7/10/2015,34112.0,FAILURE,PREMIER BANK,4081
5/8/2015,57772.0,FAILURE,EDGEBROOK BANK,4080
2/27/2015,32102.0,FAILURE,DORAL BANK,4079
2/13/2015,33938.0,FAILURE,CAPITOL CITY BANK & TRUST COMPANY,4078
1/23/2015,20290.0,FAILURE,HIGHLAND COMMUNITY BANK,4077
1/16/2015,17557.0,FAILURE,FIRST NATIONAL BANK OF CRESTVIEW,4076
12/19/2014,34983.0,FAILURE,NORTHERN STAR BANK,4075
11/7/2014,34738.0,FAILURE,"FRONTIER BANK, FSB",4074
10/24/2014,916.0,FAILURE,THE NATIONAL REPUBLIC BANK OF CHICAGO,4073
10/17/2014,4862.0,FAILURE,NBRS FINANCIAL BANK,4072
7/25/2014,28462.0,FAILURE,"GREENCHOICE BANK, FSB",4071
7/18/2014,58125.0,FAILURE,EASTSIDE COMMERCIAL BANK,4070
6/27/2014,12483.0,FAILURE,THE FREEDOM STATE BANK,4069
6/20/2014,10450.0,FAILURE,VALLEY BANK,4067
6/20/2014,21793.0,FAILURE,VALLEY BANK,4068
5/30/2014,32368.0,FAILURE,SLAVIE FEDERAL SAVINGS BANK,4066
5/23/2014,32284.0,FAILURE,COLUMBIA SAVINGS BANK,4065
5/16/2014,57866.0,FAILURE,AZTECAMERICA BANK,4064
4/25/2014,15062.0,FAILURE,ALLENDALE COUNTY BANK,4063
2/28/2014,35096.0,FAILURE,"MILLENNIUM BANK, NATIONAL ASSOCIATION",4061
2/28/2014,58531.0,FAILURE,VANTAGE POINT BANK,4062
1/31/2014,34296.0,FAILURE,SYRINGA BANK,4060
1/24/2014,17967.0,FAILURE,THE  BANK OF UNION,4059
1/17/2014,5732.0,FAILURE,DUPAGE NATIONAL BANK,4058
12/13/2013,57431.0,FAILURE,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",4057
10/30/2013,14794.0,FAILURE,BANK OF JACKSON COUNTY,4056
9/13/2013,14318.0,FAILURE,FIRST NATIONAL BANK,4054
9/13/2013,57041.0,FAILURE,THE COMMUNITY'S BANK,4055
8/23/2013,19849.0,FAILURE,COMMUNITY SOUTH BANK,4052
8/23/2013,34707.0,FAILURE,SUNRISE BANK OF ARIZONA,4053
8/9/2013,35016.0,FAILURE,BANK OF WAUSAU,4051
8/2/2013,34943.0,FAILURE,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,4050
6/7/2013,34789.0,FAILURE,MOUNTAIN NATIONAL BANK,4049
6/6/2013,58358.0,FAILURE,1st COMMERCE BANK,4048
5/31/2013,35386.0,FAILURE,BANKS OF WISCONSIN,4047
5/14/2013,34527.0,FAILURE,CENTRAL ARIZONA BANK,4046
5/10/2013,58185.0,FAILURE,SUNRISE BANK,4044
5/10/2013,58701.0,FAILURE,PISGAH COMMUNITY BANK,4045
4/26/2013,21649.0,FAILURE,DOUGLAS COUNTY BANK,4042
4/26/2013,57158.0,FAILURE,PARKWAY BANK,4043
4/19/2013,26680.0,FAILURE,HERITAGE BANK OF NORTH FLORIDA,4039
4/19/2013,29594.0,FAILURE,FIRST FEDERAL BANK,4040
4/19/2013,58034.0,FAILURE,CHIPOLA COMMUNITY BANK,4041
4/5/2013,58066.0,FAILURE,GOLD CANYON BANK,4038
3/8/2013,16431.0,FAILURE,FRONTIER BANK,4037
2/15/2013,22476.0,FAILURE,COVENANT BANK,4036
1/18/2013,57157.0,FAILURE,1ST REGENTS BANK,4035
1/11/2013,33997.0,FAILURE,WESTSIDE COMMUNITY BANK,4034
12/14/2012,27331.0,FAILURE,COMMUNITY BANK OF THE OZARKS,4033
11/16/2012,57928.0,FAILURE,HOMETOWN COMMUNITYBANK,4032
11/2/2012,3731.0,FAILURE,CITIZENS FIRST NATIONAL BANK,4030
11/2/2012,35009.0,FAILURE,HERITAGE BANK OF FLORIDA,4031
10/26/2012,27148.0,FAILURE,NOVA BANK,4029
10/19/2012,19189.0,FAILURE,EXCEL BANK,4026
10/19/2012,28144.0,FAILURE,FIRST EAST SIDE SAVINGS BANK,4027
10/19/2012,58073.0,FAILURE,GULFSOUTH PRIVATE BANK,4028
9/28/2012,20685.0,FAILURE,FIRST UNITED BANK,4025
9/14/2012,27316.0,FAILURE,TRUMAN BANK,4024
9/7/2012,35246.0,FAILURE,FIRST COMMERCIAL BANK,4023
8/3/2012,28243.0,FAILURE,WAUKEGAN SAVINGS BANK,4022
7/27/2012,16240.0,FAILURE,JASPER BANKING COMPANY,4021
7/20/2012,1361.0,FAILURE,HEARTLAND BANK,4016
7/20/2012,27986.0,FAILURE,SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,4017
7/20/2012,32711.0,FAILURE,FIRST CHEROKEE STATE BANK,4018
7/20/2012,57096.0,FAILURE,THE ROYAL PALM BANK OF FLORIDA,4019
7/20/2012,57847.0,FAILURE,GEORGIA TRUST BANK,4020
7/13/2012,1056.0,FAILURE,GLASGOW SAVINGS BANK,4015
7/6/2012,19498.0,FAILURE,MONTGOMERY BANK & TRUST,4014
6/15/2012,1690.0,FAILURE,THE FARMERS BANK OF LYNCHBURG,4011
6/15/2012,27405.0,FAILURE,PUTNAM STATE BANK,4012
6/15/2012,35299.0,FAILURE,SECURITY EXCHANGE BANK,4013
6/8/2012,416.0,FAILURE,FIRST CAPITAL BANK,4007
6/8/2012,9257.0,FAILURE,FARMERS' AND TRADERS' STATE BANK,4008
6/8/2012,34515.0,FAILURE,WACCAMAW BANK,4009
6/8/2012,35372.0,FAILURE,CAROLINA FEDERAL SAVINGS BANK,4010
5/18/2012,35224.0,FAILURE,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",4006
5/4/2012,23156.0,FAILURE,"SECURITY BANK, NATIONAL ASSOCIATION",4005
4/27/2012,23632.0,FAILURE,PALM DESERT NATIONAL BANK,4000
4/27/2012,26759.0,FAILURE,BANK OF THE EASTERN SHORE,4001
4/27/2012,31495.0,FAILURE,"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",4002
4/27/2012,32503.0,FAILURE,PLANTATION FEDERAL BANK,4003
4/27/2012,57766.0,FAILURE,HARVEST BANK OF MARYLAND,4004
4/20/2012,35527.0,FAILURE,"FORT LEE FEDERAL SAVINGS BANK, FSB",3999
3/30/2012,33883.0,FAILURE,FIDELITY BANK,3998
3/23/2012,35419.0,FAILURE,PREMIER BANK,3996
3/23/2012,58068.0,FAILURE,CONVENANT BANK & TRUST,3997
3/9/2012,57597.0,FAILURE,NEW CITY BANK,3995
3/2/2012,34046.0,FAILURE,GLOBAL COMMERCE BANK,3994
2/24/2012,5687.0,FAILURE,CENTRAL BANK OF GEORGIA,3992
2/24/2012,29178.0,FAILURE,HOME SAVINGS OF AMERICA,3993
2/10/2012,23187.0,FAILURE,CHARTER NATIONAL BANK AND TRUST,3990
2/10/2012,29761.0,FAILURE,SCB BANK,3991
1/27/2012,16579.0,FAILURE,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,3986
1/27/2012,19869.0,FAILURE,BANKEAST,3987
1/27/2012,34823.0,FAILURE,PATRIOT BANK MINNESOTA,3988
1/27/2012,35296.0,FAILURE,TENNESSEE COMMERCE BANK,3989
1/20/2012,19252.0,FAILURE,THE FIRST STATE BANK,3983
1/20/2012,31581.0,FAILURE,AMERICAN EAGLE SAVINGS BANK,3984
1/20/2012,57186.0,FAILURE,CENTRAL FLORIDA STATE BANK,3985
12/16/2011,57917.0,FAILURE,WESTERN NATIONAL BANK,3981
12/16/2011,58343.0,FAILURE,PREMIER COMMUNITY BANK OF THE EMERALD COAST,3982
11/18/2011,14194.0,FAILURE,POLK COUNTY BANK,3979
11/18/2011,19657.0,FAILURE,CENTRAL PROGRESSIVE BANK,3980
11/10/2011,57860.0,FAILURE,COMMUNITY BANK OF ROCKMART,3978
11/4/2011,19397.0,FAILURE,"MID CITY BANK, INC.",3976
11/4/2011,57087.0,FAILURE,SUNFIRST BANK,3977
10/28/2011,57759.0,FAILURE,ALL AMERICAN BANK,3975
10/21/2011,21132.0,FAILURE,COMMUNITY BANKS OF COLORADO,3971
10/21/2011,34392.0,FAILURE,DECATUR FIRST BANK,3972
10/21/2011,57036.0,FAILURE,COMMUNITY CAPITAL BANK,3973
10/21/2011,57537.0,FAILURE,OLD HARBOR BANK,3974
10/14/2011,32347.0,FAILURE,"BLUE RIDGE SAVINGS BANK, INC.",3967
10/14/2011,35395.0,FAILURE,COUNTRY BANK,3968
10/14/2011,57256.0,FAILURE,PIEDMONT COMMUNITY BANK,3969
10/14/2011,58046.0,FAILURE,FIRST STATE BANK,3970
10/7/2011,10216.0,FAILURE,THE RIVERBANK,3965
10/7/2011,20115.0,FAILURE,SUN SECURITY BANK,3966
9/30/2011,33513.0,FAILURE,FIRST INTERNATIONAL BANK,3964
9/23/2011,20408.0,FAILURE,BANK OF THE COMMONWEALTH,3962
9/23/2011,33983.0,FAILURE,CITIZENS BANK OF NORTHERN CALIFORNIA,3963
9/9/2011,25155.0,FAILURE,THE FIRST NATIONAL BANK OF FLORIDA,3961
9/2/2011,58226.0,FAILURE,CREEKSIDE BANK,3959
9/2/2011,58273.0,FAILURE,PATRIOT BANK OF GEORGIA,3960
8/19/2011,35356.0,FAILURE,LYDIAN PRIVATE BANK,3956
8/19/2011,57212.0,FAILURE,FIRST CHOICE BANK,3957
8/19/2011,57239.0,FAILURE,FIRST SOUTHERN NATIONAL BANK,3958
8/18/2011,34130.0,FAILURE,PUBLIC SAVINGS BANK,3955
8/12/2011,4744.0,FAILURE,THE FIRST NATIONAL BANK OF OLATHE,3954
8/5/2011,22528.0,FAILURE,BANK OF WHITMAN,3952
8/5/2011,22637.0,FAILURE,BANK OF SHOREWOOD,3953
7/29/2011,4392.0,FAILURE,INTEGRA BANK NATIONAL ASSOCIATION,3949
7/29/2011,58222.0,FAILURE,"BANKMERIDIAN, N.A.",3950
7/29/2011,58283.0,FAILURE,VIRGINIA BUSINESS BANK,3951
7/22/2011,2994.0,FAILURE,BANK OF CHOICE,3946
7/22/2011,35244.0,FAILURE,LANDMARK BANK OF FLORIDA,3947
7/22/2011,58056.0,FAILURE,SOUTHSHORE COMMUNITY BANK,3948
7/15/2011,19554.0,FAILURE,HIGH TRUST BANK,3942
7/15/2011,34870.0,FAILURE,FIRST PEOPLES BANK,3943
7/15/2011,57442.0,FAILURE,SUMMIT BANK,3944
7/15/2011,58238.0,FAILURE,ONE GEORGIA BANK,3945
7/8/2011,27935.0,FAILURE,FIRST CHICAGO BANK & TRUST,3939
7/8/2011,34522.0,FAILURE,COLORADO CAPITAL BANK,3940
7/8/2011,57835.0,FAILURE,SIGNATURE  BANK,3941
6/24/2011,57593.0,FAILURE,MOUNTAIN HERITAGE BANK,3938
6/17/2011,19237.0,FAILURE,MCINTOSH STATE BANK,3936
6/17/2011,27583.0,FAILURE,FIRST COMMERCIAL BANK OF TAMPA BAY,3937
6/3/2011,58420.0,FAILURE,ATLANTIC BANK AND TRUST,3935
5/27/2011,23626.0,FAILURE,FIRST HERITAGE BANK,3934
5/20/2011,513.0,FAILURE,SUMMIT BANK,3931
5/20/2011,57213.0,FAILURE,ATLANTIC SOUTHERN BANK,3932
5/20/2011,57647.0,FAILURE,FIRST GEORGIA BANKING COMPANY,3933
5/6/2011,34898.0,FAILURE,COASTAL BANK,3930
4/29/2011,19797.0,FAILURE,THE PARK AVENUE BANK,3925
4/29/2011,26297.0,FAILURE,FIRST NATIONAL BANK OF CENTRAL FLORIDA,3926
4/29/2011,34234.0,FAILURE,COMMUNITY CENTRAL BANK,3927
4/29/2011,57625.0,FAILURE,CORTEZ COMMUNITY  BANK,3928
4/29/2011,58539.0,FAILURE,FIRST CHOICE COMMUNITY BANK,3929
4/15/2011,14273.0,FAILURE,HERITAGE BANKING GROUP,3919
4/15/2011,17750.0,FAILURE,SUPERIOR BANK,3920
4/15/2011,19794.0,FAILURE,NEXITY BANK,3921
4/15/2011,21495.0,FAILURE,BARTOW COUNTY BANK,3922
4/15/2011,24099.0,FAILURE,ROSEMOUNT NATIONAL BANK,3923
4/15/2011,57705.0,FAILURE,NEW HORIZONS BANK,3924
4/8/2011,10086.0,FAILURE,WESTERN SPRINGS NATIONAL BANK AND TRUST,3917
4/8/2011,35418.0,FAILURE,NEVADA COMMERCE BANK,3918
3/25/2011,34292.0,FAILURE,THE BANK OF COMMERCE,3916
3/11/2011,4077.0,FAILURE,THE FIRST NATIONAL BANK OF DAVIS,3914
3/11/2011,34818.0,FAILURE,LEGACY BANK,3915
2/25/2011,34187.0,FAILURE,VALLEY COMMUNITY BANK,3913
2/18/2011,151.0,FAILURE,HABERSHAM BANK,3909
2/18/2011,34601.0,FAILURE,CITIZENS BANK OF EFFINGHAM,3910
2/18/2011,34783.0,FAILURE,"SAN LUIS TRUST BANK, FSB",3911
2/18/2011,57855.0,FAILURE,CHARTER OAK BANK,3912
2/11/2011,13272.0,FAILURE,BADGER STATE BANK,3905
2/11/2011,14939.0,FAILURE,PEOPLES STATE BANK,3906
2/11/2011,34692.0,FAILURE,CANYON NATIONAL BANK,3907
2/11/2011,35478.0,FAILURE,SUNSHINE STATE COMMUNITY BANK,3908
2/4/2011,35242.0,FAILURE,NORTH GEORGIA BANK,3902
2/4/2011,57432.0,FAILURE,AMERICAN TRUST BANK,3903
2/4/2011,57948.0,FAILURE,COMMUNITY FIRST BANK - CHICAGO,3904
1/28/2011,2303.0,FAILURE,THE FIRST STATE BANK,3898
1/28/2011,5328.0,FAILURE,EVERGREEN STATE BANK,3899
1/28/2011,12261.0,FAILURE,FIRST COMMUNITY BANK,3900
1/28/2011,57646.0,FAILURE,FIRSTIER BANK,3901
1/21/2011,19758.0,FAILURE,ENTERPRISE BANKING COMPANY,3894
1/21/2011,31293.0,FAILURE,UNITED WESTERN BANK,3895
1/21/2011,34516.0,FAILURE,THE BANK OF ASHEVILLE,3896
1/21/2011,57868.0,FAILURE,COMMUNITYSOUTH BANK AND TRUST,3897
1/14/2011,57440.0,FAILURE,OGLETHORPE BANK,3893
1/7/2011,34965.0,FAILURE,FIRST COMMERCIAL BANK OF FLORIDA,3891
1/7/2011,57820.0,FAILURE,LEGACY BANK,3892
12/17/2010,19040.0,FAILURE,THE BANK OF MIAMI,3885
12/17/2010,23306.0,FAILURE,COMMUNITY NATIONAL BANK,3886
12/17/2010,34578.0,FAILURE,CHESTATEE STATE BANK,3887
